Model,Time1,Time2
avNNet,5.427,0.09045
avNNet,0,0,success
nnet,13.21,0.220166666666667
nnet,0,0,success
pcaNNet,1.129,0.0188166666666667,error
bag,0.215,0.00358333333333333,error
bagEarth,16.571,0.276183333333333
bagEarth,0,0,success
bagEarthGCV,41.629,0.693816666666667
bagEarthGCV,0,0,success
earth,49.963,0.832716666666667
earth,0,0,success
gcvEarth,51.188,0.853133333333333
gcvEarth,0,0,success
bam,51.718,0.861966666666667
bam,0,0,success
gam,54.034,0.900566666666667
gam,0,0,success
bartMachine,0.314999999999998,0.00524999999999996,error
bayesglm,56.276,0.937933333333333
bayesglm,0,0,success
glm,56.847,0.94745
glm,0,0,success
lm,57.144,0.9524
lm,0,0,success
blackboost,57.404,0.956733333333333
blackboost,0,0,success
ctree,84.072,1.4012
ctree,0,0,success
ctree2,85.471,1.42451666666667
ctree2,0,0,success
gamboost,87.558,1.4593
gamboost,0,0,success
glmboost,91.005,1.51675
glmboost,0,0,success
BstLm,91.996,1.53326666666667
BstLm,0,0,success
bstSm,99.169,1.65281666666667
bstSm,0,0,success
bstTree,111.596,1.85993333333333
bstTree,0,0,success
spikeslab,3.43600000000001,0.0572666666666668,error
blasso,165.781,2.76301666666667
blasso,0,0,success
blassoAveraged,166.62,2.777
blassoAveraged,0,0,success
bridge,167.593,2.79321666666667
bridge,0,0,success
lasso,0.308999999999997,0.00514999999999996,error
ridge,0.409999999999997,0.00683333333333328,error
brnn,169.319,2.82198333333333
brnn,0,0,success
cubist,171.098,2.85163333333333
cubist,0,0,success
dnn,195.22,3.25366666666667
dnn,0,0,success
enet,0.697000000000003,0.0116166666666667,error
gamLoess,259.501,4.32501666666667
gamLoess,0,0,success
svmBoundrangeString,0.494000000000028,0.0082333333333338,error
svmExpoString,0.0290000000000532,0.00048333333333422,error
svmLinear,260.942,4.34903333333333
svmLinear,0,0,success
gbm,262.751,4.37918333333333
gbm,0,0,success
gbm_h2o,74.625,1.24375,error
glmnet,0.0930000000000177,0.0015500000000003,error
glmnet_h2o,74.937,1.24895,error
glm.nb,414.23,6.90383333333333
glm.nb,0,0,success
glmStepAIC,424.027,7.06711666666667
glmStepAIC,0,0,success
lmStepAIC,424.429,7.07381666666667
lmStepAIC,0,0,success
rlm,424.764,7.0794
rlm,0,0,success
icr,0.392999999999972,0.00654999999999954,error
kernelpls,0.0320000000000391,0.000533333333333985,error
pcr,0.0310000000000059,0.000516666666666765,error
simpls,0.0310000000000059,0.000516666666666765,error
kknn,426.745,7.11241666666667
kknn,0,0,success
knn,428.678,7.14463333333333
knn,0,0,success
lars,429.329,7.15548333333333
lars,0,0,success
lars2,429.683,7.16138333333333
lars2,0,0,success
leapBackward,0.300999999999988,0.00501666666666646,error
leapForward,0.303999999999974,0.00506666666666623,error
leapSeq,0.310000000000002,0.0051666666666667,error
logreg,0.894999999999982,0.0149166666666664,error
M5,431.761,7.19601666666667
M5,0,0,success
mlp,447.346,7.45576666666667
mlp,0,0,success
mlpML,460.964,7.68273333333333
mlpML,0,0,success
mlpWeightDecay,474.571,7.90951666666667
mlpWeightDecay,0,0,success
mlpWeightDecayML,514.813,8.58021666666667
mlpWeightDecayML,0,0,success
mlpKerasDecay,0.658999999999992,0.0109833333333332,error
mlpKerasDropout,0.280000000000086,0.00466666666666811,error
monmlp,556.587,9.27645
monmlp,0,0,success
msaenet,679.675,11.3279166666667
msaenet,0,0,success
nnls,709.299,11.82165
nnls,0,0,success
ranger,0.399000000000001,0.00665000000000002,error
svmLinear2,709.95,11.8325
svmLinear2,0,0,success
treebag,712.946,11.8824333333333
treebag,0,0,success
RRF,714.789,11.91315
RRF,0,0,success
RRFglobal,997.321,16.6220166666667
RRFglobal,0,0,success
partDSA,1042.117,17.3686166666667
partDSA,0,0,success
penalized,1069.921,17.8320166666667
penalized,0,0,success
plsRglm,1071.924,17.8654
plsRglm,0,0,success
pre,1.82899999999995,0.0304833333333325,error
qrf,1079.448,17.9908
qrf,0,0,success
rf,1102.134,18.3689
rf,0,0,success
qrnn,1118.947,18.6491166666667
qrnn,0,0,success
randomGLM,2.85300000000007,0.0475500000000011,error
Rborist,0.238999999999578,0.0039833333333263,error
rpart,4731.313,78.8552166666667
rpart,0,0,success
rpart1SE,4731.812,78.8635333333333
rpart1SE,0,0,success
rpart2,4732.146,78.8691
rpart2,0,0,success
rqlasso,0.490999999999985,0.00818333333333309,error
rqnc,0.618999999999687,0.0103166666666615,error
spls,4733.774,78.8962333333333
spls,0,0,success
superpc,0.546999999999571,0.00911666666665951,error
svmLinear3,4734.948,78.9158
svmLinear3,0,0,success
xgbLinear,4776.038,79.6006333333333
xgbLinear,0,0,success
xgbTree,4806.266,80.1044333333333
xgbTree,0,0,success
