Model,Time1,Time2
avNNet,4.161,0.06935
avNNet,0,0,success
nnet,11.925,0.19875
nnet,0,0,success
pcaNNet,1.089,0.01815,error
bag,0.215,0.00358333333333333,error
bagEarth,15.429,0.25715
bagEarth,0,0,success
bagEarthGCV,38.24,0.637333333333333
bagEarthGCV,0,0,success
earth,47.391,0.78985
earth,0,0,success
gcvEarth,48.781,0.813016666666667
gcvEarth,0,0,success
bam,49.292,0.821533333333333
bam,0,0,success
gam,51.469,0.857816666666667
gam,0,0,success
bartMachine,0.298999999999999,0.00498333333333332,error
bayesglm,53.386,0.889766666666667
bayesglm,0,0,success
glm,53.951,0.899183333333333
glm,0,0,success
lm,54.284,0.904733333333333
lm,0,0,success
blackboost,54.552,0.9092
blackboost,0,0,success
ctree,82.599,1.37665
ctree,0,0,success
ctree2,83.677,1.39461666666667
ctree2,0,0,success
gamboost,86.045,1.43408333333333
gamboost,0,0,success
glmboost,89.377,1.48961666666667
glmboost,0,0,success
BstLm,90.606,1.5101
BstLm,0,0,success
bstSm,97.438,1.62396666666667
bstSm,0,0,success
bstTree,109.79,1.82983333333333
bstTree,0,0,success
spikeslab,3.614,0.0602333333333334,error
blasso,164.026,2.73376666666667
blasso,0,0,success
blassoAveraged,164.873,2.74788333333333
blassoAveraged,0,0,success
bridge,165.942,2.7657
bridge,0,0,success
lasso,0.307999999999993,0.00513333333333321,error
ridge,0.421999999999997,0.00703333333333328,error
brnn,167.714,2.79523333333333
brnn,0,0,success
cubist,169.872,2.8312
cubist,0,0,success
dnn,195.265,3.25441666666667
dnn,0,0,success
enet,0.724999999999966,0.0120833333333328,error
gamLoess,261.381,4.35635
gamLoess,0,0,success
svmBoundrangeString,0.513999999999953,0.00856666666666589,error
svmExpoString,0.0300000000000296,0.000500000000000493,error
svmLinear,262.844,4.38073333333333
svmLinear,0,0,success
gbm,264.676,4.41126666666667
gbm,0,0,success
gbm_h2o,76.348,1.27246666666667,error
glmnet,0.0850000000000364,0.00141666666666727,error
glmnet_h2o,75.269,1.25448333333333,error
glm.nb,418.488,6.9748
glm.nb,0,0,success
glmStepAIC,428.048,7.13413333333333
glmStepAIC,0,0,success
lmStepAIC,428.466,7.1411
lmStepAIC,0,0,success
rlm,428.804,7.14673333333333
rlm,0,0,success
icr,0.37700000000001,0.00628333333333349,error
kernelpls,0.049000000000035,0.00081666666666725,error
pcr,0.0310000000000059,0.000516666666666765,error
simpls,0.0310000000000059,0.000516666666666765,error
kknn,430.757,7.17928333333333
kknn,0,0,success
knn,432.669,7.21115
knn,0,0,success
lars,433.323,7.22205
lars,0,0,success
lars2,433.678,7.22796666666667
lars2,0,0,success
leapBackward,0.314000000000021,0.00523333333333369,error
leapForward,0.307000000000016,0.00511666666666694,error
leapSeq,0.30800000000005,0.00513333333333416,error
logreg,0.898000000000025,0.0149666666666671,error
M5,435.753,7.26255
M5,0,0,success
mlp,451.105,7.51841666666667
mlp,0,0,success
mlpML,464.987,7.74978333333333
mlpML,0,0,success
mlpWeightDecay,478.766,7.97943333333333
mlpWeightDecay,0,0,success
mlpWeightDecayML,519.347,8.65578333333333
mlpWeightDecayML,0,0,success
mlpKerasDecay,0.504999999999995,0.00841666666666659,error
mlpKerasDropout,0.278999999999996,0.00464999999999994,error
monmlp,560.375,9.33958333333333
monmlp,0,0,success
msaenet,679.329,11.32215
msaenet,0,0,success
nnls,709.123,11.8187166666667
nnls,0,0,success
ranger,0.385999999999967,0.00643333333333279,error
svmLinear2,709.738,11.8289666666667
svmLinear2,0,0,success
treebag,712.669,11.8778166666667
treebag,0,0,success
RRF,714.472,11.9078666666667
RRF,0,0,success
RRFglobal,993.162,16.5527
RRFglobal,0,0,success
partDSA,1038.093,17.30155
partDSA,0,0,success
penalized,1065.776,17.7629333333333
penalized,0,0,success
plsRglm,1067.774,17.7962333333333
plsRglm,0,0,success
pre,1.90900000000011,0.0318166666666684,error
qrf,1075.067,17.9177833333333
qrf,0,0,success
rf,1098.382,18.3063666666667
rf,0,0,success
qrnn,1115.461,18.5910166666667
qrnn,0,0,success
randomGLM,2.78099999999995,0.0463499999999991,error
Rborist,0.243000000000393,0.00405000000000655,error
rpart,4751.016,79.1836
rpart,0,0,success
rpart1SE,4751.46,79.191
rpart1SE,0,0,success
rpart2,4751.773,79.1962166666667
rpart2,0,0,success
rqlasso,0.480000000000473,0.00800000000000788,error
rqnc,0.60399999999936,0.010066666666656,error
spls,4753.339,79.2223166666667
spls,0,0,success
superpc,0.514999999999418,0.00858333333332363,error
svmLinear3,4754.443,79.2407166666667
svmLinear3,0,0,success
xgbLinear,4794.258,79.9043
xgbLinear,0,0,success
xgbTree,4823.585,80.3930833333333
xgbTree,0,0,success
