Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
kknn,0.663,1.171,0.877,0.892,0.135,rf,0.376,0.567,0.472,0.473,0.045,kknn,0.999,1,0.999,0.999,0
knn,0.739,1.205,1.056,1.017,0.107,RRFglobal,0.378,0.569,0.466,0.473,0.045,RRFglobal,0.998,0.999,0.999,0.999,0
xgbLinear,0.798,1.226,1.026,1.022,0.112,RRF,0.381,0.573,0.47,0.474,0.046,RRF,0.998,0.999,0.999,0.999,0
xgbTree,0.883,1.337,1.044,1.059,0.108,knn,0.395,0.573,0.516,0.507,0.041,rf,0.998,0.999,0.999,0.999,0
rf,0.73,1.365,0.933,0.959,0.147,kknn,0.347,0.592,0.422,0.433,0.057,knn,0.998,0.999,0.999,0.999,0
RRFglobal,0.725,1.373,0.927,0.954,0.148,xgbLinear,0.456,0.615,0.528,0.536,0.04,xgbLinear,0.998,0.999,0.999,0.999,0
RRF,0.73,1.382,0.92,0.956,0.149,xgbTree,0.505,0.643,0.556,0.571,0.039,xgbTree,0.998,0.999,0.999,0.999,0
qrf,0.891,1.412,1.145,1.144,0.137,qrf,0.498,0.679,0.587,0.587,0.046,qrf,0.998,0.999,0.999,0.999,0
bstTree,1.178,1.495,1.377,1.369,0.085,cubist,0.563,0.844,0.671,0.683,0.075,bstTree,0.997,0.999,0.998,0.998,0
cubist,1.04,1.988,1.341,1.33,0.212,bstTree,0.78,0.928,0.856,0.856,0.046,cubist,0.996,0.999,0.998,0.998,0.001
M5,1.29,2.003,1.651,1.657,0.174,M5,0.785,1.073,0.948,0.941,0.076,M5,0.996,0.998,0.997,0.997,0.001
gbm,1.597,2.391,2.053,2.048,0.139,gbm,1.02,1.478,1.265,1.264,0.084,gbm,0.994,0.997,0.995,0.996,0.001
ctree,2.111,3.679,2.679,2.792,0.382,ctree,1.213,1.627,1.372,1.405,0.123,ctree,0.988,0.996,0.992,0.992,0.002
blackboost,3.094,3.809,3.616,3.521,0.207,blackboost,2.084,2.616,2.448,2.431,0.14,blackboost,0.984,0.991,0.988,0.988,0.002
qrnn,3.387,4.66,3.891,3.94,0.342,qrnn,2.018,2.767,2.434,2.446,0.209,qrnn,0.979,0.989,0.984,0.984,0.003
monmlp,3.483,4.882,3.975,4.051,0.395,ctree2,2.999,3.627,3.325,3.319,0.165,monmlp,0.975,0.989,0.982,0.982,0.004
ctree2,4.347,5.81,5.006,5.029,0.373,treebag,2.932,3.776,3.275,3.3,0.2,ctree2,0.964,0.982,0.974,0.973,0.004
treebag,4.109,6.249,4.742,4.876,0.513,monmlp,2.315,3.896,2.635,2.792,0.381,treebag,0.96,0.983,0.975,0.975,0.005
brnn,4.553,6.735,4.972,5.271,0.682,rpart1SE,3.14,4.04,3.392,3.439,0.213,brnn,0.951,0.979,0.973,0.97,0.008
rpart1SE,4.509,7.307,5.074,5.242,0.683,rpart2,3.14,4.04,3.392,3.439,0.213,rpart1SE,0.95,0.981,0.973,0.971,0.008
rpart2,4.509,7.307,5.074,5.242,0.683,brnn,3.31,4.636,3.625,3.723,0.349,rpart2,0.95,0.981,0.973,0.971,0.008
rpart,4.509,7.783,5.399,5.874,1.105,rpart,3.14,4.857,3.559,3.744,0.484,rpart,0.943,0.981,0.967,0.963,0.014
partDSA,7.083,10.204,8.271,8.443,0.661,partDSA,4.76,6.912,5.317,5.455,0.48,partDSA,0.895,0.952,0.925,0.925,0.013
bam,9.436,12.545,11.178,11.138,0.758,bagEarthGCV,5.898,7.443,6.793,6.747,0.436,bam,0.853,0.89,0.87,0.871,0.01
gam,9.602,12.545,11.177,11.142,0.743,bagEarth,5.898,7.753,6.902,6.842,0.442,gam,0.853,0.89,0.87,0.871,0.01
bagEarthGCV,10.2,13.578,12.306,12.1,0.878,earth,5.938,8.008,6.904,6.973,0.492,bstSm,0.828,0.872,0.853,0.851,0.013
bstSm,9.94,13.67,12.17,12.007,0.969,gcvEarth,5.938,8.008,6.83,6.906,0.539,bagEarthGCV,0.821,0.87,0.851,0.848,0.013
bagEarth,10.215,13.674,12.34,12.177,0.908,bstSm,6.015,8.141,7.204,7.172,0.513,bagEarth,0.821,0.867,0.849,0.847,0.013
gcvEarth,10.219,13.771,12.339,12.187,0.925,gam,7.159,8.579,7.656,7.731,0.395,gcvEarth,0.819,0.866,0.852,0.846,0.014
earth,10.219,13.771,12.374,12.21,0.927,bam,6.929,8.588,7.668,7.729,0.415,earth,0.819,0.866,0.85,0.846,0.014
gamboost,10.886,14.515,12.976,12.875,0.934,gamboost,6.815,8.934,8.057,7.984,0.499,gamboost,0.802,0.852,0.83,0.828,0.013
gamLoess,12.804,17.391,15.096,15.079,1.191,gamLoess,7.414,10.3,8.71,8.797,0.732,gamLoess,0.726,0.805,0.779,0.774,0.021
penalized,25.136,30.313,27.984,27.828,1.259,svmLinear,13.09,18.564,16.085,15.853,1.371,svmLinear2,0.141,0.244,0.192,0.193,0.027
bayesglm,25.136,30.313,27.984,27.828,1.259,svmLinear2,13.102,18.569,16.085,15.854,1.369,BstLm,0.141,0.244,0.192,0.193,0.027
glmboost,25.136,30.313,27.984,27.828,1.259,avNNet,13.931,19.903,17.026,16.881,1.451,bayesglm,0.141,0.244,0.192,0.193,0.027
glm,25.136,30.313,27.984,27.828,1.259,nnet,13.931,19.903,17.026,16.881,1.451,blassoAveraged,0.141,0.244,0.192,0.193,0.027
glmStepAIC,25.136,30.313,27.984,27.828,1.259,nnls,14.108,20.206,17.235,17.105,1.47,bridge,0.141,0.244,0.192,0.193,0.027
lars,25.136,30.313,27.984,27.828,1.259,rlm,17.727,21.792,20.066,19.941,0.956,glm,0.141,0.244,0.192,0.193,0.027
lars2,25.136,30.313,27.984,27.828,1.259,mlpWeightDecay,13.383,22.345,16.668,17.334,2.42,glmStepAIC,0.141,0.244,0.192,0.193,0.027
lm,25.136,30.313,27.984,27.828,1.259,svmLinear3,19.453,22.434,21.52,21.47,0.639,lm,0.141,0.244,0.192,0.193,0.027
lmStepAIC,25.136,30.313,27.984,27.828,1.259,blassoAveraged,19.368,22.451,21.329,21.347,0.642,lmStepAIC,0.141,0.244,0.192,0.193,0.027
plsRglm,25.136,30.313,27.984,27.828,1.259,blasso,19.398,22.451,21.328,21.351,0.642,msaenet,0.141,0.244,0.192,0.193,0.027
spls,25.136,30.313,27.984,27.828,1.259,msaenet,19.453,22.508,21.416,21.416,0.639,rlm,0.141,0.244,0.192,0.193,0.027
svmLinear3,25.127,30.325,27.981,27.824,1.257,bridge,19.486,22.53,21.433,21.448,0.639,svmLinear,0.141,0.244,0.192,0.193,0.027
bridge,25.132,30.33,27.984,27.829,1.267,penalized,19.509,22.572,21.472,21.479,0.641,svmLinear3,0.141,0.244,0.192,0.193,0.027
msaenet,25.128,30.334,27.984,27.827,1.272,lars,19.51,22.573,21.473,21.479,0.641,blasso,0.141,0.244,0.192,0.193,0.027
blassoAveraged,25.117,30.39,27.984,27.837,1.29,lars2,19.51,22.573,21.473,21.479,0.641,glmboost,0.141,0.244,0.192,0.193,0.027
