Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
blasso,25.121,30.391,27.985,27.837,1.291,plsRglm,19.51,22.573,21.473,21.479,0.641,lars,0.141,0.244,0.192,0.193,0.027
BstLm,26.934,31.75,29.665,29.593,1.063,glm,19.51,22.573,21.473,21.479,0.641,lars2,0.141,0.244,0.192,0.193,0.027
dnn,27.419,34.021,31.314,30.951,1.713,glmStepAIC,19.51,22.573,21.473,21.479,0.641,penalized,0.141,0.244,0.192,0.193,0.027
mlpWeightDecay,27.612,37.021,32.498,32.506,2.637,lm,19.51,22.573,21.473,21.479,0.641,plsRglm,0.141,0.244,0.192,0.193,0.027
mlpML,28.899,37.715,34.156,33.933,2.462,lmStepAIC,19.51,22.573,21.473,21.479,0.641,spls,0.141,0.244,0.192,0.193,0.027
rlm,25.376,38.057,28.228,29.564,3.666,spls,19.51,22.573,21.473,21.479,0.641,avNNet,NA,NA,NA,NA,NA
svmLinear2,29.382,38.551,34.63,34.274,2.416,glmboost,19.51,22.573,21.473,21.479,0.641,dnn,NA,NA,NA,NA,NA
svmLinear,29.399,38.585,34.631,34.278,2.416,bayesglm,19.51,22.573,21.473,21.479,0.641,glm.nb,NA,NA,NA,NA,NA
mlp,28.327,38.674,33.729,33.637,2.665,BstLm,20.52,24.015,22.207,22.291,0.896,mlp,NA,NA,NA,NA,NA
avNNet,30.292,38.755,35.197,34.717,2.212,dnn,14.819,24.301,19.419,19.552,1.993,mlpML,NA,NA,NA,NA,NA
nnet,30.292,38.755,35.197,34.717,2.212,mlp,12.933,26.59,16.357,16.931,2.793,mlpWeightDecay,NA,NA,NA,NA,NA
nnls,30.738,39.26,35.669,35.191,2.224,mlpML,12.553,30.203,17.235,18.041,4.062,mlpWeightDecayML,NA,NA,NA,NA,NA
mlpWeightDecayML,29.185,42.692,31.858,32.89,2.887,mlpWeightDecayML,12.977,41.071,17.629,19.02,5.894,nnet,NA,NA,NA,NA,NA
glm.nb,NA,NA,NA,NA,NA,glm.nb,NA,NA,NA,NA,NA,nnls,NA,NA,NA,NA,NA
