Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
xgbLinear,0.88,1.495,1.152,1.196,0.163,RRF,0.416,0.609,0.523,0.522,0.053,kknn,0.999,1,0.999,0.999,0
kknn,0.798,1.498,1.091,1.057,0.2,RRFglobal,0.421,0.61,0.528,0.524,0.053,knn,0.998,1,0.999,0.999,0
xgbTree,0.976,1.522,1.194,1.235,0.157,rf,0.421,0.618,0.524,0.525,0.055,RRF,0.998,0.999,0.999,0.999,0
RRFglobal,0.807,1.525,1.119,1.152,0.179,kknn,0.372,0.658,0.464,0.477,0.08,RRFglobal,0.998,0.999,0.999,0.999,0
knn,0.757,1.528,1.159,1.175,0.178,xgbLinear,0.489,0.678,0.584,0.579,0.051,rf,0.998,0.999,0.999,0.999,0
RRF,0.799,1.565,1.131,1.148,0.178,knn,0.419,0.69,0.558,0.557,0.062,xgbLinear,0.998,0.999,0.999,0.999,0
rf,0.8,1.573,1.114,1.157,0.19,xgbTree,0.533,0.727,0.632,0.625,0.051,xgbTree,0.998,0.999,0.999,0.999,0
qrf,1.027,1.657,1.395,1.38,0.177,qrf,0.545,0.757,0.651,0.649,0.057,qrf,0.998,0.999,0.999,0.999,0
bstTree,1.273,1.756,1.45,1.473,0.156,cubist,0.509,0.871,0.653,0.667,0.093,bstTree,0.998,0.999,0.998,0.998,0
cubist,0.919,2.071,1.287,1.331,0.268,bstTree,0.75,0.954,0.834,0.829,0.061,cubist,0.997,0.999,0.999,0.999,0.001
M5,1.713,2.499,2.013,2.031,0.206,M5,1.021,1.419,1.121,1.136,0.09,M5,0.996,0.998,0.997,0.997,0.001
gbm,1.994,2.661,2.26,2.268,0.177,gbm,1.184,1.451,1.299,1.297,0.074,gbm,0.995,0.997,0.996,0.996,0.001
blackboost,3.717,4.636,4.058,4.131,0.236,ctree,1.261,2.09,1.593,1.628,0.194,blackboost,0.984,0.991,0.989,0.988,0.002
ctree,2.639,5.552,3.469,3.567,0.663,blackboost,2.491,2.974,2.699,2.715,0.128,ctree,0.981,0.995,0.991,0.991,0.003
qrnn,4.292,5.899,4.899,4.952,0.355,qrnn,2.596,3.601,2.928,2.945,0.257,qrnn,0.975,0.987,0.983,0.983,0.003
treebag,6.008,7.65,6.435,6.587,0.464,monmlp,2.612,4.536,3.216,3.349,0.497,monmlp,0.961,0.988,0.982,0.98,0.007
monmlp,4.16,7.841,5.012,5.172,0.837,ctree2,3.764,4.764,4.262,4.248,0.244,treebag,0.959,0.978,0.969,0.969,0.006
ctree2,5.567,8.081,6.743,6.774,0.681,treebag,4.12,4.934,4.431,4.47,0.219,ctree2,0.955,0.98,0.965,0.967,0.007
rpart1SE,6.243,9.196,7.097,7.128,0.595,rpart2,4.309,5.468,4.743,4.747,0.236,brnn,0.944,0.97,0.958,0.957,0.008
rpart2,6.351,9.196,7.116,7.153,0.585,rpart1SE,4.309,5.468,4.741,4.734,0.239,rpart2,0.941,0.974,0.963,0.963,0.007
brnn,6.595,9.294,7.535,7.729,0.851,brnn,4.708,6.142,5.464,5.482,0.291,rpart1SE,0.941,0.974,0.963,0.963,0.008
partDSA,10.205,12.458,11.316,11.256,0.656,bagEarthGCV,3.257,7.441,5.754,5.657,1.161,partDSA,0.88,0.931,0.908,0.909,0.013
rpart,8.54,13.449,11.185,10.889,1.188,bagEarth,3.556,7.467,5.849,5.868,1.074,rpart,0.851,0.947,0.911,0.914,0.023
bagEarth,4.959,13.772,10.306,10.267,2.455,partDSA,7.015,8.188,7.659,7.649,0.277,bagEarthGCV,0.847,0.989,0.927,0.922,0.039
bagEarthGCV,4.75,13.951,10.352,10.163,2.54,gcvEarth,2.787,8.622,7.463,5.841,2.501,bagEarth,0.847,0.987,0.927,0.92,0.04
gcvEarth,3.921,16.414,14.2,10.515,5.451,earth,3.569,8.622,7.463,6.175,2.121,bam,0.813,0.867,0.837,0.837,0.014
earth,5.122,16.414,14.2,11.02,4.872,bstSm,7.408,9.8,8.785,8.78,0.566,gam,0.813,0.867,0.837,0.837,0.014
bam,12.772,16.899,15.158,15.127,0.925,rpart,5.278,10.555,7.644,7.368,1.193,earth,0.807,0.985,0.851,0.895,0.076
gam,12.773,16.899,15.158,15.127,0.925,gamboost,8.496,10.877,9.895,9.862,0.573,gcvEarth,0.807,0.991,0.851,0.899,0.08
bstSm,12.767,17.409,15.515,15.406,1.042,gam,8.43,10.893,9.59,9.559,0.498,bstSm,0.806,0.859,0.831,0.832,0.014
