Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
gamboost,13.782,18.209,16.35,16.285,1.015,bam,8.43,10.893,9.59,9.559,0.498,gamboost,0.785,0.84,0.812,0.812,0.015
gamLoess,15.997,21.438,18.825,18.782,1.363,gamLoess,9.306,12.692,11.001,11.019,0.884,gamLoess,0.712,0.8,0.758,0.759,0.021
penalized,31.665,37.394,34.102,34.343,1.547,svmLinear,16.519,22.481,19.632,19.566,1.607,glm.nb,0.221,0.406,0.259,0.274,0.045
bayesglm,31.666,37.394,34.102,34.343,1.547,svmLinear2,16.519,22.484,19.634,19.566,1.607,svmLinear2,0.118,0.205,0.16,0.161,0.028
glmboost,31.666,37.394,34.102,34.343,1.547,glm.nb,20.215,24.099,22.252,22.372,0.893,bayesglm,0.118,0.205,0.16,0.161,0.028
glm,31.666,37.394,34.102,34.343,1.547,avNNet,17.705,24.569,21.318,21.254,1.734,blasso,0.118,0.205,0.16,0.161,0.028
glmStepAIC,31.666,37.394,34.102,34.343,1.547,nnet,17.705,24.569,21.318,21.254,1.734,blassoAveraged,0.118,0.205,0.16,0.161,0.028
lars,31.666,37.394,34.102,34.343,1.547,rlm,19.643,24.61,22.246,22.39,1.094,bridge,0.118,0.205,0.16,0.161,0.028
lars2,31.666,37.394,34.102,34.343,1.547,nnls,17.878,24.876,21.588,21.491,1.762,glm,0.118,0.205,0.16,0.161,0.028
lm,31.666,37.394,34.102,34.343,1.547,blassoAveraged,23.497,27.481,25.575,25.709,0.798,glmStepAIC,0.118,0.205,0.16,0.161,0.028
lmStepAIC,31.666,37.394,34.102,34.343,1.547,blasso,23.506,27.525,25.577,25.712,0.799,glmboost,0.118,0.205,0.16,0.161,0.028
plsRglm,31.666,37.394,34.102,34.343,1.547,msaenet,23.604,27.579,25.706,25.819,0.79,lars,0.118,0.205,0.16,0.161,0.028
spls,31.666,37.394,34.102,34.343,1.547,bridge,23.63,27.642,25.709,25.857,0.799,lars2,0.118,0.205,0.16,0.161,0.028
bridge,31.644,37.412,34.092,34.347,1.557,svmLinear3,23.703,27.658,25.754,25.885,0.785,lm,0.118,0.205,0.16,0.161,0.028
msaenet,31.629,37.418,34.086,34.342,1.562,penalized,23.684,27.693,25.759,25.904,0.8,lmStepAIC,0.118,0.205,0.16,0.161,0.028
svmLinear3,31.625,37.468,34.087,34.335,1.562,glm,23.684,27.694,25.76,25.905,0.8,msaenet,0.118,0.205,0.16,0.161,0.028
blasso,31.605,37.511,34.072,34.357,1.591,glmStepAIC,23.684,27.694,25.76,25.905,0.8,penalized,0.118,0.205,0.16,0.161,0.028
blassoAveraged,31.614,37.521,34.074,34.358,1.59,lm,23.684,27.694,25.76,25.905,0.8,plsRglm,0.118,0.205,0.16,0.161,0.028
glm.nb,30.161,38.761,33.71,33.759,2.115,lmStepAIC,23.684,27.694,25.76,25.905,0.8,rlm,0.118,0.205,0.16,0.161,0.028
BstLm,33.374,38.844,35.905,36.103,1.343,plsRglm,23.684,27.694,25.76,25.905,0.8,spls,0.118,0.205,0.16,0.161,0.028
dnn,33.257,41.351,37.457,37.416,2.123,lars,23.684,27.694,25.76,25.905,0.8,svmLinear,0.118,0.205,0.16,0.161,0.028
rlm,32.121,42.912,37.624,37.512,2.855,lars2,23.684,27.694,25.76,25.905,0.8,svmLinear3,0.118,0.205,0.16,0.161,0.028
mlp,34.208,44.722,40.417,39.912,2.777,spls,23.684,27.694,25.76,25.905,0.8,BstLm,0.118,0.205,0.16,0.161,0.028
mlpWeightDecay,33.533,45.252,40.781,40.287,3.104,glmboost,23.684,27.694,25.76,25.905,0.8,mlpWeightDecayML,0,0.029,0.001,0.003,0.006
mlpWeightDecayML,33.742,46.604,39.53,39.63,3.475,bayesglm,23.684,27.694,25.76,25.905,0.8,avNNet,NA,NA,NA,NA,NA
mlpML,33.56,46.667,41.204,40.633,3.037,dnn,19.276,28.281,22.603,23.149,2.317,dnn,NA,NA,NA,NA,NA
svmLinear2,35.691,46.906,41.919,41.687,2.958,BstLm,24.847,29.119,26.377,26.698,1.098,mlp,NA,NA,NA,NA,NA
svmLinear,35.691,46.911,41.926,41.688,2.96,mlp,14.134,29.667,19.641,20.633,3.827,mlpML,NA,NA,NA,NA,NA
avNNet,37.531,47.21,42.617,42.491,2.644,mlpWeightDecay,16.341,36.039,19.35,21.636,5.275,mlpWeightDecay,NA,NA,NA,NA,NA
nnet,37.531,47.21,42.617,42.491,2.644,mlpWeightDecayML,16.694,39.896,20.737,22.73,5.544,nnet,NA,NA,NA,NA,NA
nnls,37.992,47.723,43.109,42.981,2.654,mlpML,14.193,41.108,20.209,22.187,7.12,nnls,NA,NA,NA,NA,NA
