RMSE,Rsquared,MAE,Model
35.7351140593385,NA,17.992898602061,avNNet
30.743105276782,NA,14.9957042931047,avNNet
33.8978087440719,NA,16.2595965058544,avNNet
34.2576582397343,NA,16.793311110428,avNNet
30.2216082749595,NA,14.3224350173417,avNNet
35.2763963918805,NA,17.5092868098875,avNNet
35.411045554899,NA,17.4776376378103,avNNet
35.3583585377937,NA,18.0393013027693,avNNet
33.6857506833508,NA,16.7381036086001,avNNet
39.2136623523683,NA,20.4552236014571,avNNet
36.0378039436687,NA,18.461662365559,avNNet
35.9193965281745,NA,17.9048085898076,avNNet
33.8091461195175,NA,16.7174378213344,avNNet
35.7505822328171,NA,17.5624463981686,avNNet
34.0010702990113,NA,17.1120163743984,avNNet
36.3940514533278,NA,18.5416930604796,avNNet
36.5095737558291,NA,18.3857193498367,avNNet
35.3822269368741,NA,17.3749791759601,avNNet
30.7901075816011,NA,14.8547360332721,avNNet
37.4104223215646,NA,18.7416016198537,avNNet
38.7187960148144,NA,19.880795662028,avNNet
36.0745737184606,NA,18.1324613591128,avNNet
32.4342735626871,NA,15.8007633947653,avNNet
34.6000565341779,NA,17.2205497684386,avNNet
37.0571728806943,NA,19.0975053759463,avNNet
35.7351140593385,NA,17.992898602061,nnet
30.743105276782,NA,14.9957042931047,nnet
33.8978087440719,NA,16.2595965058544,nnet
34.2576582397343,NA,16.793311110428,nnet
30.2216082749595,NA,14.3224350173417,nnet
35.2763963918805,NA,17.5092868098875,nnet
35.411045554899,NA,17.4776376378103,nnet
35.3583585377937,NA,18.0393013027693,nnet
33.6857506833508,NA,16.7381036086001,nnet
39.2136623523683,NA,20.4552236014571,nnet
36.0378039436687,NA,18.461662365559,nnet
35.9193965281745,NA,17.9048085898076,nnet
33.8091461195175,NA,16.7174378213344,nnet
35.7505822328171,NA,17.5624463981686,nnet
34.0010702990113,NA,17.1120163743984,nnet
36.3940514533278,NA,18.5416930604796,nnet
36.5095737558291,NA,18.3857193498367,nnet
35.3822269368741,NA,17.3749791759601,nnet
30.7901075816011,NA,14.8547360332721,nnet
37.4104223215646,NA,18.7416016198537,nnet
38.7187960148144,NA,19.880795662028,nnet
36.0745737184606,NA,18.1324613591128,nnet
32.4342735626871,NA,15.8007633947653,nnet
34.6000565341779,NA,17.2205497684386,nnet
37.0571728806943,NA,19.0975053759463,nnet
13.2357530121361,0.824611647033093,6.89954151993964,bagEarth
11.6953194990863,0.848810399427121,6.38983590350248,bagEarth
11.361902496701,0.861091044144369,6.5436730479004,bagEarth
13.2254510128282,0.826940030074421,6.63191037221363,bagEarth
11.7023952729016,0.86619916844239,6.46374379630674,bagEarth
