Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
spls,29.839,34.992,32.469,32.572,1.31,msaenet,23.69,26.864,26.142,26.019,0.663,lars2,0.141,0.241,0.204,0.202,0.026
msaenet,29.839,34.993,32.469,32.572,1.311,penalized,23.693,26.869,26.146,26.023,0.663,lm,0.141,0.241,0.204,0.202,0.026
svmLinear3,29.83,35.011,32.47,32.576,1.32,glm,23.694,26.869,26.146,26.023,0.663,lmStepAIC,0.141,0.241,0.204,0.202,0.026
bridge,29.838,35.014,32.47,32.575,1.319,glmStepAIC,23.694,26.869,26.146,26.023,0.663,msaenet,0.141,0.241,0.204,0.202,0.026
blassoAveraged,29.836,35.057,32.482,32.586,1.344,lm,23.694,26.869,26.146,26.023,0.663,penalized,0.141,0.241,0.204,0.202,0.026
blasso,29.836,35.059,32.482,32.585,1.344,lmStepAIC,23.694,26.869,26.146,26.023,0.663,plsRglm,0.141,0.241,0.204,0.202,0.026
glm.nb,29.069,35.107,31.962,32.051,1.72,lars,23.694,26.869,26.146,26.023,0.663,rlm,0.141,0.241,0.204,0.202,0.026
rlm,30.029,35.97,32.61,32.888,1.555,lars2,23.694,26.869,26.146,26.023,0.663,spls,0.141,0.241,0.204,0.202,0.026
BstLm,32.114,36.783,34.617,34.761,1.079,plsRglm,23.694,26.869,26.146,26.023,0.663,svmLinear,0.141,0.241,0.204,0.202,0.026
dnn,32.839,39.33,36.395,36.438,1.783,spls,23.694,26.869,26.146,26.023,0.663,svmLinear3,0.141,0.241,0.204,0.202,0.026
mlpWeightDecay,34.215,44.987,38.012,38.31,2.342,glmboost,23.694,26.869,26.146,26.023,0.663,BstLm,0.141,0.241,0.204,0.202,0.026
mlpWeightDecayML,34.868,45.537,38.963,39.467,3.108,bayesglm,23.694,26.869,26.146,26.023,0.663,mlpWeightDecayML,0,0.018,0.005,0.005,0.005
svmLinear,34.493,46.18,41.895,41.378,2.982,rlm,23.988,27.342,26.47,26.43,0.682,avNNet,NA,NA,NA,NA,NA
svmLinear2,34.495,46.18,41.894,41.372,2.987,dnn,20.979,27.527,24.684,24.755,1.676,dnn,NA,NA,NA,NA,NA
avNNet,37.771,46.61,42.927,42.556,2.446,BstLm,24.343,28.016,26.18,26.367,0.957,mlp,NA,NA,NA,NA,NA
nnet,37.771,46.61,42.927,42.556,2.446,mlp,17.8,29.698,23.558,23.202,2.816,mlpML,NA,NA,NA,NA,NA
mlp,34.467,46.646,37.634,39.032,3.105,mlpWeightDecay,18.765,35.463,23.893,25.513,5.008,mlpWeightDecay,NA,NA,NA,NA,NA
nnls,38.278,47.154,43.458,43.089,2.456,mlpWeightDecayML,17.424,40.215,23.634,25.234,6.112,nnet,NA,NA,NA,NA,NA
mlpML,34.473,47.507,38.991,39.179,3.497,mlpML,18.292,44.702,24.299,26.427,6.556,nnls,NA,NA,NA,NA,NA
