Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
kknn,0.661,1.041,0.814,0.818,0.098,RRFglobal,0.398,0.521,0.457,0.46,0.033,kknn,0.999,1,1,0.999,0
RRF,0.728,1.054,0.884,0.885,0.087,RRF,0.402,0.523,0.456,0.46,0.033,RRFglobal,0.999,1,0.999,0.999,0
RRFglobal,0.718,1.057,0.882,0.883,0.087,rf,0.405,0.528,0.46,0.462,0.033,RRF,0.999,1,0.999,0.999,0
rf,0.732,1.087,0.889,0.891,0.089,kknn,0.353,0.554,0.403,0.413,0.044,rf,0.999,1,0.999,0.999,0
xgbLinear,0.774,1.195,0.948,0.949,0.111,knn,0.411,0.598,0.499,0.499,0.04,knn,0.999,1,0.999,0.999,0
knn,0.739,1.204,0.961,0.965,0.108,xgbLinear,0.44,0.603,0.513,0.517,0.042,xgbLinear,0.999,0.999,0.999,0.999,0
qrf,0.805,1.332,1.035,1.038,0.114,qrf,0.474,0.634,0.567,0.567,0.042,xgbTree,0.999,0.999,0.999,0.999,0
xgbTree,0.865,1.336,0.992,0.999,0.108,xgbTree,0.489,0.649,0.565,0.562,0.041,qrf,0.999,0.999,0.999,0.999,0
bstTree,1.015,1.426,1.191,1.21,0.103,cubist,0.575,0.826,0.678,0.702,0.078,bstTree,0.998,0.999,0.999,0.999,0
cubist,0.997,1.588,1.28,1.297,0.185,bstTree,0.679,0.868,0.753,0.76,0.046,cubist,0.998,0.999,0.999,0.999,0
gbm,1.496,1.927,1.722,1.72,0.121,gbm,0.99,1.217,1.081,1.095,0.058,gbm,0.997,0.998,0.998,0.998,0
M5,1.601,2.149,1.761,1.78,0.153,M5,0.964,1.334,1.144,1.137,0.091,M5,0.996,0.998,0.998,0.998,0.001
ctree,2.021,3.49,2.836,2.787,0.347,ctree,1.161,1.686,1.403,1.399,0.116,ctree,0.991,0.996,0.994,0.994,0.001
blackboost,2.827,3.672,3.208,3.193,0.265,blackboost,1.853,2.451,2.139,2.132,0.161,blackboost,0.99,0.995,0.993,0.993,0.001
qrnn,3.595,4.733,4.059,4.112,0.349,qrnn,2.198,3.016,2.611,2.565,0.239,qrnn,0.983,0.991,0.987,0.987,0.002
ctree2,5.216,6.065,5.572,5.634,0.218,ctree2,3.864,4.574,4.1,4.14,0.147,treebag,0.972,0.98,0.976,0.976,0.002
treebag,5.303,6.604,5.58,5.654,0.269,treebag,4.015,4.902,4.271,4.301,0.199,ctree2,0.969,0.981,0.976,0.976,0.003
monmlp,3.519,7.678,3.939,4.471,1.203,monmlp,2.366,4.951,2.716,2.954,0.669,rpart1SE,0.96,0.979,0.974,0.974,0.004
rpart1SE,5.526,7.907,5.8,5.913,0.48,rpart1SE,4.154,5.576,4.313,4.393,0.292,rpart2,0.96,0.979,0.974,0.974,0.004
rpart2,5.526,7.907,5.8,5.913,0.48,rpart2,4.154,5.576,4.313,4.393,0.292,monmlp,0.957,0.991,0.988,0.984,0.009
brnn,4.522,8.809,6.28,6.413,1.521,rpart,4.927,6.737,6.001,5.941,0.485,brnn,0.942,0.985,0.97,0.968,0.014
rpart,6.856,11.149,9.676,9.259,1.326,brnn,2.919,6.766,4.442,4.401,1.254,gam,0.919,0.931,0.925,0.924,0.003
bam,8.778,11.243,10.102,10.054,0.563,bagEarth,4.861,6.945,6.064,6.012,0.491,bam,0.919,0.931,0.925,0.924,0.003
gam,8.778,11.243,10.102,10.05,0.568,bagEarthGCV,4.779,7.006,6.055,5.985,0.481,rpart,0.911,0.964,0.928,0.935,0.017
bagEarth,8.819,12.444,11.329,11.213,0.768,earth,5.328,7.033,6.101,6.133,0.44,earth,0.897,0.916,0.905,0.905,0.005
bstSm,9.552,12.603,11.333,11.245,0.742,gcvEarth,5.328,7.033,6.101,6.133,0.44,gcvEarth,0.897,0.916,0.905,0.905,0.005
bagEarthGCV,8.568,12.629,11.273,11.135,0.784,bstSm,5.935,7.735,6.962,6.969,0.45,bstSm,0.897,0.916,0.907,0.906,0.006
earth,9.588,12.643,11.347,11.307,0.7,bam,6.744,8.03,7.497,7.479,0.302,bagEarth,0.897,0.929,0.906,0.907,0.007
gcvEarth,9.588,12.643,11.347,11.307,0.7,gam,6.744,8.03,7.478,7.461,0.327,bagEarthGCV,0.897,0.933,0.907,0.908,0.008
gamboost,10.573,13.669,12.392,12.313,0.716,gamboost,7.041,8.908,8.175,8.126,0.445,gamboost,0.875,0.897,0.888,0.887,0.006
partDSA,11.612,14.202,12.819,12.852,0.788,gamLoess,7.736,10.305,9.005,9.077,0.663,partDSA,0.84,0.896,0.878,0.876,0.015
gamLoess,12.468,16.888,14.823,14.734,1.105,partDSA,8.354,10.877,9.843,9.629,0.858,gamLoess,0.818,0.866,0.846,0.848,0.012
penalized,29.839,34.992,32.469,32.572,1.31,svmLinear,17.826,24.022,21.244,21.117,1.655,glm.nb,0.212,0.311,0.267,0.272,0.026
bayesglm,29.839,34.992,32.469,32.572,1.31,svmLinear2,17.825,24.023,21.244,21.117,1.655,svmLinear2,0.141,0.241,0.204,0.202,0.026
glmboost,29.839,34.992,32.469,32.572,1.31,glm.nb,21.617,25.182,23.908,23.815,0.836,bayesglm,0.141,0.241,0.204,0.202,0.026
glm,29.839,34.992,32.469,32.572,1.31,avNNet,19.522,26.502,23.188,23.065,1.739,blasso,0.141,0.241,0.204,0.202,0.026
glmStepAIC,29.839,34.992,32.469,32.572,1.31,nnet,19.522,26.502,23.188,23.065,1.739,blassoAveraged,0.141,0.241,0.204,0.202,0.026
lars,29.839,34.992,32.469,32.572,1.31,blassoAveraged,23.556,26.728,26.026,25.888,0.666,bridge,0.141,0.241,0.204,0.202,0.026
lars2,29.839,34.992,32.469,32.572,1.31,blasso,23.586,26.742,26.003,25.893,0.664,glm,0.141,0.241,0.204,0.202,0.026
lm,29.839,34.992,32.469,32.572,1.31,bridge,23.673,26.818,26.133,25.992,0.663,glmStepAIC,0.141,0.241,0.204,0.202,0.026
lmStepAIC,29.839,34.992,32.469,32.572,1.31,svmLinear3,23.575,26.831,26.136,26.015,0.689,glmboost,0.141,0.241,0.204,0.202,0.026
plsRglm,29.839,34.992,32.469,32.572,1.31,nnls,19.779,26.864,23.478,23.354,1.754,lars,0.141,0.241,0.204,0.202,0.026
