RMSE,Rsquared,MAE,Model
42.6108776668243,NA,21.939156431294,avNNet
38.0721408931089,NA,19.0384284000537,avNNet
40.0526152549315,NA,20.0424816374626,avNNet
40.6444937682323,NA,20.5922628534515,avNNet
37.3574273916429,NA,18.1647066068017,avNNet
43.7938355189863,NA,22.4596556379561,avNNet
43.8931540456111,NA,22.1765299568656,avNNet
43.0931032254857,NA,22.6325514005067,avNNet
40.8372056149841,NA,20.7047429575077,avNNet
46.7760616493139,NA,25.1286801684949,avNNet
42.1807271723426,NA,22.1932115712925,avNNet
41.8978573993781,NA,21.882682677272,avNNet
40.6892676056485,NA,20.8643749837929,avNNet
42.5733713304005,NA,21.8506619493669,avNNet
41.3022798649065,NA,21.2890007835982,avNNet
45.0367061654166,NA,23.5759363863816,avNNet
45.0371697276747,NA,23.6137055446513,avNNet
42.6945296686547,NA,21.700132091695,avNNet
37.2905097993372,NA,18.750643862488,avNNet
45.0051614570535,NA,23.4582814890808,avNNet
46.4544123478594,NA,24.2119401714257,avNNet
42.881682185641,NA,22.1496508836191,avNNet
39.3773909598362,NA,20.138152408282,avNNet
42.4709849813976,NA,21.6857832844873,avNNet
44.0062830886399,NA,23.493025372666,avNNet
42.6108776668243,NA,21.939156431294,nnet
38.0721408931089,NA,19.0384284000537,nnet
40.0526152549315,NA,20.0424816374626,nnet
40.6444937682323,NA,20.5922628534515,nnet
37.3574273916429,NA,18.1647066068017,nnet
43.7938355189863,NA,22.4596556379561,nnet
43.8931540456111,NA,22.1765299568656,nnet
43.0931032254857,NA,22.6325514005067,nnet
40.8372056149841,NA,20.7047429575077,nnet
46.7760616493139,NA,25.1286801684949,nnet
42.1807271723426,NA,22.1932115712925,nnet
41.8978573993781,NA,21.882682677272,nnet
40.6892676056485,NA,20.8643749837929,nnet
42.5733713304005,NA,21.8506619493669,nnet
41.3022798649065,NA,21.2890007835982,nnet
45.0367061654166,NA,23.5759363863816,nnet
45.0371697276747,NA,23.6137055446513,nnet
42.6945296686547,NA,21.700132091695,nnet
37.2905097993372,NA,18.750643862488,nnet
45.0051614570535,NA,23.4582814890808,nnet
46.4544123478594,NA,24.2119401714257,nnet
42.881682185641,NA,22.1496508836191,nnet
39.3773909598362,NA,20.138152408282,nnet
42.4709849813976,NA,21.6857832844873,nnet
44.0062830886399,NA,23.493025372666,nnet
15.3230257422339,0.83219283457867,8.67156602598595,bagEarth
14.0101218564727,0.848740308535354,7.93389682915549,bagEarth
13.5331446378179,0.867949389850176,7.8783457357977,bagEarth
14.4397850032953,0.841004890971116,7.58712213861929,bagEarth
14.423253041526,0.862147553494212,8.21917974551189,bagEarth
13.9543129120378,0.875086783314722,7.82506439262737,bagEarth
14.8782621567798,0.855920900543772,8.38979848111906,bagEarth
15.373882460954,0.854805301514835,8.73333865665097,bagEarth
14.4042015118091,0.856203783347396,8.15445979920695,bagEarth
13.5960879902023,0.873006286460956,7.47503382225653,bagEarth
14.0842693750397,0.882456957649232,7.79529900740407,bagEarth
12.7142697503431,0.855874986064377,7.02802946791745,bagEarth
14.4047675903377,0.866705692759652,8.43529756291194,bagEarth
12.676977161319,0.857006603027873,7.16294657417463,bagEarth
14.1559213131352,0.84167061693036,7.67155230092858,bagEarth
13.785879999361,0.862024108652358,7.82819676976912,bagEarth
12.0010698930705,0.870938232060667,6.64889875948149,bagEarth
13.4535644588006,0.85817416210661,7.39192335212598,bagEarth
14.1357352414157,0.841069585904391,7.67735419000227,bagEarth
14.2510859035978,0.864986321186614,7.54838449056308,bagEarth
14.3556858209738,0.851874017949693,7.82913814804495,bagEarth
14.4136298847634,0.860147593064923,7.99831921884105,bagEarth
13.4313361530956,0.851257811600851,7.46030503201429,bagEarth
14.3579153681455,0.856469768387836,8.12283728936042,bagEarth
13.6433314573114,0.849410774564932,7.21636774986341,bagEarth
13.5364520029177,0.867577772979555,7.91731000816692,bagEarthGCV
14.1272730025364,0.871249013103599,7.87283200626225,bagEarthGCV
14.4944945463466,0.855867718233863,8.19476022516125,bagEarthGCV
12.6731162008957,0.854996719508985,7.0968968788738,bagEarthGCV
13.9975457721387,0.849412634291448,7.89668313758601,bagEarthGCV
14.4250707233047,0.862275796256658,8.19558096645345,bagEarthGCV
15.1973380407053,0.858154681868096,8.58815360222022,bagEarthGCV
13.49335467757,0.892043147144725,7.45284627681119,bagEarthGCV
15.267109248497,0.832341354847162,8.64248020991795,bagEarthGCV
14.4537485750434,0.840735855380431,7.58071720676577,bagEarthGCV
14.8089582380366,0.856562588071276,8.3177916636475,bagEarthGCV
13.5878855269699,0.873072191735036,7.48991576263075,bagEarthGCV
14.4446351219743,0.866620943631884,8.44385781890095,bagEarthGCV
13.7998311775834,0.861838959267732,7.85933373268285,bagEarthGCV
14.1080735182722,0.841194629587162,7.66145437818388,bagEarthGCV
14.5757585533284,0.854440603508657,8.08532709935219,bagEarthGCV
13.722227025972,0.847717238588801,7.50061583764782,bagEarthGCV
14.1385726305196,0.841701925055613,7.64772218871871,bagEarthGCV
13.4889715509447,0.857502930557023,7.47580659421661,bagEarthGCV
14.3739802718459,0.85176534337779,7.84121129352368,bagEarthGCV
14.5555715954811,0.851800269242264,8.23887894319585,bagEarthGCV
