Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
cubist,1.666,2.098,1.898,1.903,0.105,ctree2,1.18,1.419,1.334,1.329,0.061,bstTree,0.641,0.756,0.702,0.702,0.033
ctree2,1.766,2.11,1.933,1.935,0.091,qrnn,1.222,1.421,1.322,1.327,0.059,blackboost,0.641,0.755,0.701,0.701,0.034
blackboost,1.75,2.114,1.916,1.908,0.092,cubist,1.182,1.429,1.309,1.308,0.065,treebag,0.641,0.75,0.701,0.694,0.034
qrnn,1.76,2.117,1.966,1.942,0.106,bstTree,1.223,1.467,1.344,1.343,0.059,cubist,0.64,0.77,0.698,0.701,0.035
bstTree,1.726,2.118,1.888,1.892,0.096,M5,1.23,1.47,1.353,1.355,0.066,qrnn,0.637,0.763,0.695,0.691,0.035
treebag,1.74,2.119,1.903,1.921,0.103,blackboost,1.239,1.477,1.364,1.364,0.055,gbm,0.636,0.754,0.701,0.704,0.032
rpart2,1.733,2.132,1.952,1.952,0.103,treebag,1.233,1.478,1.366,1.36,0.059,ctree2,0.635,0.735,0.693,0.689,0.03
gbm,1.737,2.132,1.877,1.889,0.094,gbm,1.226,1.48,1.349,1.346,0.057,rpart2,0.633,0.751,0.689,0.684,0.034
M5,1.743,2.132,1.924,1.932,0.102,rpart2,1.238,1.488,1.378,1.377,0.063,rpart,0.629,0.751,0.676,0.679,0.038
rpart,1.733,2.137,1.976,1.969,0.113,rpart1SE,1.238,1.488,1.383,1.379,0.064,brnn,0.627,0.732,0.684,0.688,0.03
brnn,1.8,2.163,1.929,1.939,0.088,rpart,1.238,1.488,1.389,1.384,0.067,xgbTree,0.626,0.755,0.704,0.703,0.033
xgbTree,1.722,2.168,1.872,1.89,0.1,ctree,1.19,1.504,1.345,1.357,0.072,partDSA,0.621,0.729,0.669,0.668,0.033
rpart1SE,1.733,2.168,1.952,1.957,0.111,xgbTree,1.223,1.518,1.347,1.349,0.062,M5,0.619,0.746,0.689,0.69,0.034
ctree,1.738,2.183,1.951,1.953,0.114,brnn,1.342,1.523,1.425,1.424,0.053,bam,0.611,0.744,0.682,0.686,0.032
partDSA,1.808,2.187,2.014,1.998,0.097,monmlp,1.214,1.565,1.342,1.347,0.078,gam,0.611,0.744,0.682,0.686,0.032
gam,1.763,2.206,1.94,1.946,0.095,partDSA,1.296,1.569,1.449,1.452,0.068,monmlp,0.611,0.761,0.703,0.702,0.035
bam,1.763,2.206,1.94,1.946,0.095,gam,1.319,1.572,1.433,1.43,0.055,ctree,0.611,0.75,0.688,0.684,0.039
monmlp,1.698,2.23,1.899,1.893,0.11,bam,1.319,1.572,1.433,1.43,0.055,rpart1SE,0.607,0.751,0.689,0.682,0.037
gamLoess,1.793,2.236,1.982,1.971,0.096,knn,1.299,1.573,1.419,1.417,0.062,gamLoess,0.6,0.738,0.676,0.679,0.033
bagEarthGCV,1.826,2.27,2.004,1.996,0.094,bagEarth,1.353,1.603,1.463,1.459,0.057,knn,0.589,0.724,0.663,0.661,0.033
bagEarth,1.832,2.271,2.003,1.997,0.094,bagEarthGCV,1.353,1.603,1.465,1.459,0.059,bagEarthGCV,0.588,0.725,0.669,0.669,0.032
knn,1.829,2.272,2.032,2.024,0.099,earth,1.352,1.61,1.471,1.465,0.059,bagEarth,0.588,0.723,0.668,0.669,0.032
earth,1.839,2.288,2.014,2.001,0.093,gcvEarth,1.352,1.61,1.471,1.465,0.059,gcvEarth,0.583,0.721,0.666,0.668,0.031
gcvEarth,1.839,2.288,2.014,2.001,0.093,gamLoess,1.366,1.63,1.482,1.469,0.056,earth,0.583,0.721,0.666,0.668,0.031
gamboost,1.81,2.297,2.005,2.023,0.107,gamboost,1.344,1.631,1.472,1.466,0.061,gamboost,0.579,0.734,0.66,0.662,0.037
RRF,2.044,2.457,2.282,2.276,0.102,RRF,1.381,1.65,1.542,1.542,0.063,rf,0.53,0.66,0.593,0.588,0.035
rf,2.041,2.465,2.272,2.278,0.102,RRFglobal,1.383,1.654,1.542,1.542,0.063,RRFglobal,0.528,0.663,0.593,0.588,0.035
RRFglobal,2.044,2.467,2.267,2.276,0.102,rf,1.38,1.655,1.549,1.544,0.063,RRF,0.525,0.66,0.591,0.588,0.035
xgbLinear,2.166,2.589,2.451,2.434,0.105,xgbLinear,1.42,1.697,1.579,1.576,0.068,xgbLinear,0.488,0.631,0.544,0.546,0.038
qrf,2.258,2.719,2.509,2.524,0.117,qrf,1.455,1.786,1.621,1.625,0.077,kknn,0.464,0.635,0.548,0.542,0.047
kknn,2.335,3.018,2.746,2.765,0.173,kknn,1.738,2.172,1.985,1.978,0.111,qrf,0.441,0.609,0.529,0.527,0.043
bridge,3.049,3.278,3.142,3.156,0.059,mlpML,2.242,2.795,2.536,2.515,0.151,svmLinear2,0.128,0.221,0.166,0.173,0.027
msaenet,3.049,3.278,3.142,3.156,0.059,svmLinear2,2.584,2.826,2.701,2.712,0.06,BstLm,0.128,0.221,0.166,0.173,0.027
penalized,3.049,3.278,3.142,3.156,0.059,svmLinear,2.587,2.826,2.701,2.712,0.06,bayesglm,0.128,0.221,0.166,0.173,0.027
glmboost,3.049,3.278,3.142,3.156,0.059,msaenet,2.612,2.885,2.732,2.738,0.062,blasso,0.128,0.221,0.166,0.173,0.027
glm,3.049,3.278,3.142,3.156,0.059,penalized,2.612,2.885,2.732,2.738,0.062,blassoAveraged,0.128,0.221,0.166,0.173,0.027
glmStepAIC,3.049,3.278,3.142,3.156,0.059,bayesglm,2.612,2.885,2.732,2.738,0.062,bridge,0.128,0.221,0.166,0.173,0.027
lars,3.049,3.278,3.142,3.156,0.059,glmboost,2.612,2.885,2.732,2.738,0.062,glm,0.128,0.221,0.166,0.173,0.027
lars2,3.049,3.278,3.142,3.156,0.059,spls,2.612,2.885,2.732,2.738,0.062,glmStepAIC,0.128,0.221,0.166,0.173,0.027
lm,3.049,3.278,3.142,3.156,0.059,lars,2.612,2.885,2.732,2.738,0.062,glmboost,0.128,0.221,0.166,0.173,0.027
lmStepAIC,3.049,3.278,3.142,3.156,0.059,lars2,2.612,2.885,2.732,2.738,0.062,lars,0.128,0.221,0.166,0.173,0.027
rlm,3.049,3.278,3.142,3.156,0.059,plsRglm,2.612,2.885,2.732,2.738,0.062,lars2,0.128,0.221,0.166,0.173,0.027
spls,3.049,3.278,3.142,3.156,0.059,glm,2.612,2.885,2.732,2.738,0.062,lm,0.128,0.221,0.166,0.173,0.027
plsRglm,3.049,3.278,3.142,3.156,0.059,glmStepAIC,2.612,2.885,2.732,2.738,0.062,lmStepAIC,0.128,0.221,0.166,0.173,0.027
bayesglm,3.049,3.278,3.142,3.156,0.059,lm,2.612,2.885,2.732,2.738,0.062,msaenet,0.128,0.221,0.166,0.173,0.027
blassoAveraged,3.05,3.278,3.142,3.157,0.059,lmStepAIC,2.612,2.885,2.732,2.738,0.062,penalized,0.128,0.221,0.166,0.173,0.027
blasso,3.05,3.278,3.142,3.157,0.059,rlm,2.612,2.885,2.732,2.738,0.062,plsRglm,0.128,0.221,0.166,0.173,0.027
svmLinear3,3.056,3.31,3.157,3.174,0.066,bridge,2.613,2.889,2.734,2.74,0.062,rlm,0.128,0.221,0.166,0.173,0.027
svmLinear,3.094,3.351,3.187,3.192,0.066,blassoAveraged,2.618,2.896,2.739,2.745,0.063,spls,0.128,0.221,0.166,0.173,0.027
svmLinear2,3.094,3.351,3.187,3.192,0.067,blasso,2.618,2.898,2.738,2.744,0.063,svmLinear,0.128,0.221,0.166,0.173,0.027
BstLm,3.134,3.408,3.24,3.234,0.067,BstLm,2.64,2.904,2.752,2.765,0.063,svmLinear3,0.128,0.221,0.166,0.173,0.027
dnn,3.109,3.582,3.356,3.361,0.136,svmLinear3,2.652,2.963,2.766,2.783,0.087,mlpML,0.122,0.234,0.163,0.164,0.027
mlpWeightDecay,3.05,3.873,3.29,3.372,0.218,dnn,2.33,3.111,2.603,2.74,0.257,mlp,0.087,0.238,0.164,0.159,0.032
mlp,2.969,3.954,3.311,3.317,0.197,mlpWeightDecayML,2.258,3.167,2.507,2.555,0.235,mlpWeightDecayML,0.07,0.213,0.162,0.158,0.032
mlpML,3.089,3.976,3.263,3.347,0.266,mlpWeightDecay,2.161,3.199,2.566,2.589,0.239,mlpWeightDecay,0,0.208,0.159,0.153,0.041
mlpWeightDecayML,3.064,4.019,3.247,3.301,0.222,mlp,2.069,3.333,2.469,2.492,0.239,avNNet,NA,NA,NA,NA,NA
avNNet,4.983,5.565,5.28,5.279,0.146,avNNet,4.032,4.673,4.32,4.32,0.149,dnn,NA,NA,NA,NA,NA
nnet,4.983,5.565,5.28,5.279,0.146,nnet,4.032,4.673,4.32,4.32,0.149,nnet,NA,NA,NA,NA,NA
nnls,4.983,5.565,5.28,5.279,0.146,nnls,4.032,4.673,4.32,4.32,0.149,nnls,NA,NA,NA,NA,NA
