Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
penalized,3.075,3.301,3.168,3.176,0.059,msaenet,2.626,2.906,2.753,2.755,0.064,svmLinear2,0.118,0.209,0.161,0.162,0.026
glmboost,3.075,3.301,3.168,3.176,0.059,penalized,2.626,2.906,2.753,2.755,0.064,BstLm,0.118,0.209,0.161,0.162,0.026
lars,3.075,3.301,3.168,3.176,0.059,bayesglm,2.626,2.906,2.753,2.755,0.064,bayesglm,0.118,0.209,0.161,0.162,0.026
lars2,3.075,3.301,3.168,3.176,0.059,glmboost,2.626,2.906,2.753,2.755,0.064,blasso,0.118,0.209,0.161,0.162,0.026
plsRglm,3.075,3.301,3.168,3.176,0.059,lars,2.626,2.906,2.753,2.755,0.064,blassoAveraged,0.118,0.209,0.161,0.162,0.026
spls,3.075,3.301,3.168,3.176,0.059,lars2,2.626,2.906,2.753,2.755,0.064,bridge,0.118,0.209,0.161,0.162,0.026
glm,3.075,3.301,3.168,3.176,0.059,plsRglm,2.626,2.906,2.753,2.755,0.064,glm,0.118,0.209,0.161,0.162,0.026
glmStepAIC,3.075,3.301,3.168,3.176,0.059,spls,2.626,2.906,2.753,2.755,0.064,glmStepAIC,0.118,0.209,0.161,0.162,0.026
lm,3.075,3.301,3.168,3.176,0.059,glm,2.626,2.906,2.753,2.755,0.064,glmboost,0.118,0.209,0.161,0.162,0.026
lmStepAIC,3.075,3.301,3.168,3.176,0.059,glmStepAIC,2.626,2.906,2.753,2.755,0.064,lars,0.118,0.209,0.161,0.162,0.026
rlm,3.075,3.301,3.168,3.176,0.059,lm,2.626,2.906,2.753,2.755,0.064,lars2,0.118,0.209,0.161,0.162,0.026
bayesglm,3.075,3.301,3.168,3.176,0.059,lmStepAIC,2.626,2.906,2.753,2.755,0.064,lm,0.118,0.209,0.161,0.162,0.026
blasso,3.076,3.301,3.17,3.177,0.059,rlm,2.626,2.906,2.753,2.755,0.064,lmStepAIC,0.118,0.209,0.161,0.162,0.026
blassoAveraged,3.076,3.302,3.169,3.177,0.059,bridge,2.628,2.91,2.755,2.757,0.064,msaenet,0.118,0.209,0.161,0.162,0.026
svmLinear3,3.083,3.316,3.18,3.187,0.058,svmLinear3,2.673,2.91,2.787,2.789,0.063,penalized,0.118,0.209,0.161,0.162,0.026
svmLinear,3.116,3.373,3.206,3.211,0.064,blassoAveraged,2.635,2.918,2.762,2.763,0.065,plsRglm,0.118,0.209,0.161,0.162,0.026
svmLinear2,3.116,3.373,3.206,3.211,0.064,blasso,2.635,2.919,2.76,2.762,0.065,rlm,0.118,0.209,0.161,0.162,0.026
BstLm,3.146,3.421,3.252,3.247,0.065,BstLm,2.654,2.922,2.767,2.78,0.063,spls,0.118,0.209,0.161,0.162,0.026
mlpWeightDecay,2.89,3.528,3.284,3.265,0.147,mlpWeightDecay,2.173,3.046,2.559,2.579,0.235,svmLinear,0.118,0.209,0.161,0.162,0.026
dnn,2.923,3.823,3.417,3.403,0.206,dnn,2.269,3.274,2.935,2.824,0.32,svmLinear3,0.118,0.209,0.161,0.162,0.026
mlpML,3.003,4.054,3.306,3.343,0.235,mlpWeightDecayML,2.197,3.3,2.483,2.561,0.28,mlpML,0.116,0.253,0.16,0.164,0.031
mlpWeightDecayML,2.917,4.114,3.277,3.327,0.244,mlpML,2.263,3.365,2.545,2.589,0.248,mlpWeightDecayML,0.115,0.257,0.171,0.167,0.032
mlp,2.923,4.933,3.273,3.351,0.362,mlp,2.095,3.831,2.591,2.614,0.325,avNNet,NA,NA,NA,NA,NA
avNNet,4.983,5.565,5.28,5.279,0.146,avNNet,4.032,4.673,4.32,4.32,0.149,dnn,NA,NA,NA,NA,NA
nnet,4.983,5.565,5.28,5.279,0.146,nnet,4.032,4.673,4.32,4.32,0.149,nnet,NA,NA,NA,NA,NA
nnls,4.983,5.565,5.28,5.279,0.146,nnls,4.032,4.673,4.32,4.32,0.149,nnls,NA,NA,NA,NA,NA
