Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
blackboost,1.708,2.23,1.997,1.995,0.122,cubist,1.247,1.497,1.357,1.357,0.066,bstSm,0.598,0.762,0.646,0.656,0.039
gbm,1.71,2.265,1.96,1.97,0.12,ctree2,1.202,1.533,1.375,1.382,0.07,xgbTree,0.595,0.77,0.677,0.679,0.039
xgbTree,1.685,2.266,1.971,1.969,0.125,blackboost,1.286,1.537,1.418,1.419,0.056,bstTree,0.594,0.772,0.677,0.679,0.039
ctree2,1.65,2.267,2,1.998,0.144,bstSm,1.249,1.552,1.417,1.408,0.066,gbm,0.594,0.766,0.679,0.678,0.039
bstTree,1.684,2.27,1.968,1.969,0.123,xgbTree,1.248,1.556,1.372,1.375,0.061,monmlp,0.593,0.768,0.675,0.676,0.039
brnn,1.721,2.274,1.995,1.995,0.127,ctree,1.26,1.558,1.406,1.41,0.069,brnn,0.592,0.748,0.669,0.669,0.041
monmlp,1.681,2.275,2,1.977,0.129,bstTree,1.245,1.562,1.373,1.378,0.062,bam,0.584,0.759,0.666,0.664,0.039
gam,1.714,2.299,2.008,2.011,0.125,gbm,1.271,1.57,1.376,1.386,0.062,gam,0.584,0.759,0.666,0.664,0.039
bam,1.714,2.299,2.008,2.011,0.125,brnn,1.303,1.574,1.397,1.408,0.064,gamboost,0.577,0.742,0.644,0.644,0.04
ctree,1.747,2.3,2.033,2.023,0.145,qrnn,1.252,1.583,1.387,1.384,0.078,blackboost,0.57,0.775,0.677,0.674,0.048
bstSm,1.701,2.31,2.033,2.042,0.136,monmlp,1.25,1.584,1.407,1.399,0.067,treebag,0.569,0.737,0.657,0.665,0.038
cubist,1.764,2.31,2.062,2.051,0.143,M5,1.217,1.597,1.408,1.408,0.087,cubist,0.566,0.731,0.665,0.664,0.043
gamboost,1.782,2.317,2.073,2.071,0.117,gam,1.255,1.599,1.42,1.424,0.066,gamLoess,0.565,0.74,0.647,0.645,0.041
treebag,1.737,2.35,2.034,2.01,0.125,bam,1.255,1.599,1.42,1.424,0.066,ctree2,0.563,0.777,0.672,0.669,0.048
gamLoess,1.787,2.351,2.069,2.069,0.13,knn,1.32,1.609,1.458,1.46,0.074,bagEarthGCV,0.561,0.742,0.655,0.647,0.04
bagEarth,1.775,2.363,2.056,2.063,0.123,treebag,1.291,1.618,1.424,1.415,0.067,bagEarth,0.561,0.742,0.654,0.647,0.04
bagEarthGCV,1.772,2.364,2.057,2.062,0.123,gamboost,1.329,1.621,1.477,1.472,0.058,earth,0.559,0.741,0.647,0.644,0.041
knn,1.852,2.369,2.168,2.143,0.129,bagEarthGCV,1.275,1.643,1.442,1.448,0.071,gcvEarth,0.559,0.741,0.647,0.644,0.041
earth,1.775,2.372,2.057,2.071,0.126,bagEarth,1.279,1.643,1.445,1.449,0.069,rpart1SE,0.555,0.713,0.65,0.655,0.036
gcvEarth,1.775,2.372,2.057,2.071,0.126,earth,1.289,1.649,1.461,1.461,0.07,rpart,0.555,0.764,0.652,0.658,0.043
rpart,1.693,2.389,2.029,2.032,0.14,gcvEarth,1.289,1.649,1.461,1.461,0.07,M5,0.552,0.758,0.662,0.661,0.044
rpart1SE,1.783,2.389,2.055,2.044,0.121,rpart,1.229,1.656,1.453,1.443,0.078,ctree,0.552,0.744,0.666,0.661,0.047
rpart2,1.704,2.407,1.997,2.019,0.136,rpart1SE,1.318,1.656,1.443,1.444,0.068,rpart2,0.547,0.762,0.668,0.661,0.043
M5,1.722,2.422,2.02,2.032,0.157,rpart2,1.266,1.665,1.447,1.443,0.076,knn,0.537,0.696,0.62,0.624,0.038
partDSA,1.752,2.489,2.1,2.119,0.172,gamLoess,1.342,1.667,1.481,1.492,0.07,qrnn,0.534,0.736,0.672,0.666,0.046
qrnn,1.726,2.529,2.063,2.059,0.171,RRF,1.479,1.682,1.552,1.555,0.061,partDSA,0.506,0.749,0.628,0.626,0.057
RRFglobal,2.183,2.644,2.354,2.348,0.115,RRFglobal,1.484,1.683,1.547,1.556,0.061,RRFglobal,0.505,0.619,0.577,0.569,0.032
RRF,2.167,2.645,2.342,2.347,0.116,rf,1.479,1.687,1.547,1.555,0.061,RRF,0.504,0.623,0.575,0.569,0.033
rf,2.17,2.647,2.354,2.348,0.117,xgbLinear,1.48,1.713,1.573,1.585,0.069,rf,0.503,0.622,0.574,0.569,0.033
xgbLinear,2.262,2.775,2.528,2.499,0.122,partDSA,1.309,1.723,1.501,1.512,0.098,xgbLinear,0.468,0.6,0.532,0.529,0.037
qrf,2.343,2.805,2.533,2.56,0.127,qrf,1.482,1.762,1.589,1.6,0.074,kknn,0.46,0.579,0.519,0.519,0.036
kknn,2.632,3.178,2.838,2.866,0.145,kknn,1.87,2.174,1.998,2.008,0.088,qrf,0.442,0.586,0.529,0.519,0.037
bridge,3.075,3.301,3.168,3.176,0.059,svmLinear,2.597,2.838,2.709,2.723,0.059,mlpWeightDecay,0.124,0.256,0.166,0.166,0.032
msaenet,3.075,3.301,3.168,3.176,0.059,svmLinear2,2.597,2.838,2.709,2.723,0.059,mlp,0.123,0.247,0.163,0.165,0.029
