Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
brnn,1.431,1.795,1.605,1.619,0.085,cubist,1.138,1.309,1.206,1.214,0.049,brnn,0.743,0.832,0.782,0.782,0.024
blackboost,1.455,1.802,1.644,1.626,0.091,qrnn,1.143,1.328,1.235,1.235,0.05,gam,0.741,0.832,0.78,0.781,0.025
gam,1.433,1.803,1.609,1.623,0.088,brnn,1.161,1.328,1.239,1.237,0.047,bam,0.741,0.832,0.78,0.781,0.025
bam,1.433,1.803,1.609,1.623,0.088,gam,1.171,1.339,1.246,1.246,0.046,cubist,0.74,0.822,0.774,0.777,0.026
ctree2,1.469,1.803,1.619,1.625,0.099,bam,1.171,1.339,1.246,1.246,0.046,ctree2,0.738,0.822,0.781,0.78,0.027
cubist,1.479,1.811,1.668,1.648,0.094,gbm,1.14,1.345,1.207,1.217,0.052,blackboost,0.736,0.827,0.785,0.783,0.027
xgbTree,1.428,1.825,1.61,1.611,0.097,ctree2,1.159,1.345,1.234,1.23,0.048,xgbTree,0.734,0.835,0.787,0.784,0.027
bstTree,1.433,1.827,1.61,1.613,0.097,xgbTree,1.146,1.346,1.214,1.213,0.052,bstTree,0.734,0.834,0.787,0.784,0.027
gbm,1.42,1.83,1.6,1.615,0.097,knn,1.165,1.347,1.246,1.249,0.052,gbm,0.732,0.835,0.787,0.783,0.027
ctree,1.469,1.833,1.628,1.631,0.104,M5,1.138,1.349,1.231,1.221,0.054,ctree,0.732,0.822,0.781,0.779,0.029
treebag,1.43,1.837,1.598,1.625,0.103,rpart,1.148,1.349,1.226,1.231,0.053,treebag,0.73,0.833,0.779,0.78,0.028
rpart1SE,1.452,1.853,1.605,1.632,0.103,blackboost,1.168,1.349,1.239,1.24,0.045,rpart1SE,0.725,0.827,0.777,0.778,0.028
rpart2,1.452,1.853,1.605,1.632,0.103,bstTree,1.143,1.352,1.216,1.215,0.051,rpart2,0.725,0.827,0.777,0.778,0.028
bagEarth,1.484,1.86,1.646,1.66,0.094,treebag,1.151,1.356,1.229,1.231,0.049,M5,0.723,0.827,0.767,0.77,0.029
gamLoess,1.479,1.863,1.66,1.681,0.098,ctree,1.159,1.357,1.231,1.23,0.05,bagEarth,0.722,0.819,0.77,0.771,0.027
bagEarthGCV,1.485,1.865,1.644,1.66,0.096,bagEarth,1.189,1.366,1.266,1.261,0.05,bagEarthGCV,0.721,0.819,0.769,0.771,0.027
M5,1.461,1.866,1.652,1.665,0.104,bagEarthGCV,1.189,1.371,1.266,1.261,0.051,earth,0.718,0.815,0.768,0.769,0.027
rpart,1.444,1.873,1.624,1.657,0.114,earth,1.189,1.375,1.267,1.265,0.052,gcvEarth,0.718,0.815,0.768,0.769,0.027
earth,1.496,1.873,1.656,1.665,0.097,gcvEarth,1.189,1.375,1.267,1.265,0.052,qrnn,0.717,0.827,0.777,0.778,0.027
gcvEarth,1.496,1.873,1.656,1.665,0.097,rpart1SE,1.163,1.384,1.236,1.239,0.053,rpart,0.714,0.829,0.778,0.772,0.031
qrnn,1.442,1.885,1.624,1.64,0.102,rpart2,1.163,1.384,1.236,1.239,0.053,gamLoess,0.71,0.821,0.76,0.765,0.028
gamboost,1.518,1.889,1.695,1.698,0.097,gamLoess,1.214,1.394,1.294,1.302,0.052,knn,0.71,0.807,0.756,0.754,0.028
knn,1.538,1.919,1.721,1.724,0.1,gamboost,1.162,1.403,1.286,1.292,0.059,gamboost,0.698,0.813,0.758,0.76,0.029
RRFglobal,1.719,2.067,1.899,1.874,0.091,RRFglobal,1.212,1.43,1.327,1.326,0.056,RRFglobal,0.665,0.766,0.707,0.716,0.027
RRF,1.724,2.067,1.897,1.874,0.091,RRF,1.212,1.432,1.329,1.326,0.055,RRF,0.662,0.767,0.709,0.716,0.027
rf,1.717,2.071,1.902,1.876,0.091,rf,1.212,1.433,1.33,1.326,0.056,rf,0.662,0.766,0.707,0.715,0.027
partDSA,1.64,2.136,1.852,1.848,0.134,xgbLinear,1.224,1.505,1.353,1.349,0.065,partDSA,0.634,0.795,0.708,0.716,0.041
xgbLinear,1.788,2.237,1.993,1.984,0.104,qrf,1.238,1.522,1.387,1.37,0.065,xgbLinear,0.603,0.753,0.687,0.687,0.033
qrf,1.837,2.262,2.027,2.033,0.11,monmlp,1.148,1.555,1.228,1.241,0.084,qrf,0.588,0.743,0.679,0.678,0.035
kknn,2.346,2.851,2.524,2.54,0.119,partDSA,1.276,1.692,1.444,1.436,0.117,kknn,0.571,0.714,0.669,0.666,0.033
blasso,3.107,3.353,3.209,3.216,0.061,kknn,1.647,2.103,1.872,1.859,0.097,monmlp,0.432,0.833,0.782,0.766,0.076
blassoAveraged,3.107,3.354,3.208,3.216,0.061,svmLinear2,2.615,2.856,2.727,2.746,0.061,mlpML,0.171,0.298,0.234,0.228,0.034
penalized,3.105,3.355,3.209,3.215,0.06,svmLinear,2.615,2.856,2.727,2.746,0.061,mlpWeightDecayML,0.154,0.297,0.225,0.229,0.037
msaenet,3.105,3.355,3.209,3.215,0.06,msaenet,2.654,2.935,2.778,2.787,0.068,svmLinear2,0.101,0.181,0.145,0.142,0.025
glmboost,3.105,3.355,3.209,3.215,0.06,penalized,2.654,2.935,2.778,2.787,0.068,BstLm,0.101,0.181,0.145,0.142,0.025
glm,3.105,3.355,3.209,3.215,0.06,bayesglm,2.654,2.935,2.778,2.787,0.068,bayesglm,0.101,0.181,0.145,0.142,0.025
glmStepAIC,3.105,3.355,3.209,3.215,0.06,glmboost,2.654,2.935,2.778,2.787,0.068,blasso,0.101,0.181,0.145,0.142,0.025
lm,3.105,3.355,3.209,3.215,0.06,glm,2.654,2.935,2.778,2.787,0.068,blassoAveraged,0.101,0.181,0.145,0.142,0.025
lmStepAIC,3.105,3.355,3.209,3.215,0.06,glmStepAIC,2.654,2.935,2.778,2.787,0.068,bridge,0.101,0.181,0.145,0.142,0.025
plsRglm,3.105,3.355,3.209,3.215,0.06,lm,2.654,2.935,2.778,2.787,0.068,glm,0.101,0.181,0.145,0.142,0.025
rlm,3.105,3.355,3.209,3.215,0.06,lmStepAIC,2.654,2.935,2.778,2.787,0.068,glmStepAIC,0.101,0.181,0.145,0.142,0.025
spls,3.105,3.355,3.209,3.215,0.06,plsRglm,2.654,2.935,2.778,2.787,0.068,glmboost,0.101,0.181,0.145,0.142,0.025
lars,3.105,3.355,3.209,3.215,0.06,rlm,2.654,2.935,2.778,2.787,0.068,lars,0.101,0.181,0.145,0.142,0.025
