Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
lars2,3.105,3.355,3.209,3.215,0.06,spls,2.654,2.935,2.778,2.787,0.068,lars2,0.101,0.181,0.145,0.142,0.025
bayesglm,3.105,3.355,3.209,3.215,0.06,lars,2.654,2.935,2.778,2.787,0.068,lm,0.101,0.181,0.145,0.142,0.025
bridge,3.105,3.355,3.209,3.215,0.061,lars2,2.654,2.935,2.778,2.787,0.068,lmStepAIC,0.101,0.181,0.145,0.142,0.025
svmLinear,3.155,3.413,3.253,3.252,0.063,bridge,2.657,2.939,2.78,2.789,0.069,msaenet,0.101,0.181,0.145,0.142,0.025
svmLinear2,3.155,3.413,3.253,3.252,0.063,blassoAveraged,2.665,2.949,2.785,2.795,0.07,penalized,0.101,0.181,0.145,0.142,0.025
BstLm,3.172,3.439,3.273,3.272,0.062,BstLm,2.681,2.949,2.793,2.807,0.065,plsRglm,0.101,0.181,0.145,0.142,0.025
svmLinear3,3.126,3.552,3.228,3.253,0.096,blasso,2.664,2.95,2.785,2.795,0.07,rlm,0.101,0.181,0.145,0.142,0.025
monmlp,1.429,3.573,1.629,1.707,0.405,mlpML,1.986,3.057,2.379,2.41,0.265,spls,0.101,0.181,0.145,0.142,0.025
mlpWeightDecay,2.849,3.679,3.166,3.186,0.216,svmLinear3,2.713,3.115,2.835,2.853,0.104,svmLinear,0.101,0.181,0.145,0.142,0.025
dnn,2.954,3.772,3.298,3.304,0.234,mlpWeightDecay,1.904,3.125,2.403,2.467,0.316,svmLinear3,0.101,0.181,0.145,0.142,0.025
mlpML,2.868,3.781,3.197,3.207,0.204,dnn,2.146,3.193,2.574,2.68,0.362,mlpWeightDecay,0.082,0.305,0.22,0.215,0.047
mlpWeightDecayML,2.924,3.791,3.15,3.208,0.218,mlpWeightDecayML,2.033,3.222,2.363,2.457,0.301,mlp,0.01,0.304,0.223,0.215,0.059
mlp,2.976,4.023,3.243,3.264,0.237,mlp,2.2,3.418,2.388,2.497,0.311,avNNet,NA,NA,NA,NA,NA
avNNet,4.983,5.565,5.28,5.279,0.146,avNNet,4.032,4.673,4.32,4.32,0.149,dnn,NA,NA,NA,NA,NA
nnet,4.983,5.565,5.28,5.279,0.146,nnet,4.032,4.673,4.32,4.32,0.149,nnet,NA,NA,NA,NA,NA
nnls,4.983,5.565,5.28,5.279,0.146,nnls,4.032,4.673,4.32,4.32,0.149,nnls,NA,NA,NA,NA,NA
