Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
kknn,0.609,1.079,0.912,0.866,0.146,rf,0.382,0.523,0.441,0.445,0.039,kknn,0.999,1,0.999,0.999,0
rf,0.705,1.196,0.918,0.94,0.158,RRFglobal,0.379,0.524,0.439,0.445,0.041,RRF,0.999,1,0.999,0.999,0
xgbLinear,0.703,1.201,0.955,0.966,0.13,RRF,0.385,0.525,0.439,0.445,0.041,rf,0.999,1,0.999,0.999,0
RRF,0.699,1.202,0.902,0.939,0.165,kknn,0.322,0.526,0.41,0.418,0.062,RRFglobal,0.999,1,0.999,0.999,0
RRFglobal,0.706,1.218,0.92,0.942,0.165,xgbLinear,0.421,0.558,0.496,0.49,0.033,knn,0.999,1,0.999,0.999,0
xgbTree,0.772,1.259,1.025,1.017,0.126,knn,0.389,0.571,0.457,0.465,0.048,xgbLinear,0.999,1,0.999,0.999,0
knn,0.71,1.289,0.953,0.963,0.153,xgbTree,0.458,0.605,0.532,0.534,0.037,xgbTree,0.999,1,0.999,0.999,0
qrf,0.779,1.455,1.084,1.087,0.174,qrf,0.457,0.632,0.539,0.539,0.046,qrf,0.998,0.999,0.999,0.999,0
bstTree,0.882,1.528,1.192,1.205,0.137,cubist,0.519,0.832,0.65,0.659,0.081,bstTree,0.998,0.999,0.999,0.999,0
cubist,0.909,1.585,1.222,1.242,0.184,bstTree,0.597,0.876,0.724,0.735,0.06,cubist,0.998,0.999,0.999,0.999,0
gbm,1.396,1.969,1.648,1.638,0.135,gbm,0.879,1.269,1.043,1.049,0.082,gbm,0.997,0.999,0.998,0.998,0
M5,1.551,2.324,1.902,1.88,0.187,M5,0.96,1.565,1.163,1.198,0.182,M5,0.996,0.998,0.997,0.997,0.001
blackboost,2.475,3.512,2.948,2.993,0.268,ctree,1.162,1.803,1.286,1.327,0.148,blackboost,0.992,0.996,0.994,0.994,0.001
ctree,2.157,3.927,2.775,2.894,0.488,blackboost,1.745,2.322,2.037,2.06,0.171,ctree,0.988,0.996,0.994,0.994,0.002
qrnn,3.24,4.997,3.836,3.849,0.386,qrnn,1.93,3.011,2.407,2.423,0.242,qrnn,0.983,0.993,0.989,0.989,0.002
ctree2,5.058,6.554,5.646,5.641,0.371,monmlp,2.43,4.27,2.649,2.808,0.451,monmlp,0.97,0.991,0.988,0.987,0.004
monmlp,3.521,6.923,3.952,4.121,0.684,ctree2,3.761,4.318,3.999,3.985,0.15,ctree2,0.966,0.983,0.976,0.976,0.004
treebag,4.772,7.338,5.399,5.592,0.662,treebag,3.613,4.928,3.958,4.052,0.301,treebag,0.965,0.984,0.977,0.976,0.006
brnn,4.585,8.105,6.368,6.102,1.049,rpart1SE,3.829,5.248,4.132,4.293,0.375,brnn,0.954,0.985,0.971,0.972,0.008
rpart1SE,5.196,8.709,5.839,6.38,1.13,rpart2,3.829,5.248,4.132,4.293,0.375,rpart1SE,0.942,0.982,0.975,0.969,0.012
rpart2,5.196,8.709,5.839,6.38,1.13,brnn,3.02,5.489,3.873,3.984,0.757,rpart2,0.942,0.982,0.975,0.969,0.012
rpart,5.196,9.41,8.056,7.374,1.459,rpart,3.829,5.987,4.821,4.847,0.705,rpart,0.933,0.982,0.954,0.958,0.015
bagEarthGCV,9.441,13.495,12.218,11.95,0.983,bagEarthGCV,5.539,7.622,6.645,6.635,0.573,bam,0.881,0.904,0.891,0.891,0.007
gam,10.524,13.536,12.164,12.133,0.679,bagEarth,5.495,8.12,6.804,6.729,0.607,gam,0.881,0.904,0.891,0.891,0.007
bam,10.524,13.536,12.164,12.133,0.679,earth,5.644,8.226,7.438,7.243,0.629,bstSm,0.865,0.895,0.883,0.881,0.009
partDSA,10.854,13.781,11.36,11.67,0.672,gcvEarth,5.644,8.226,7.438,7.243,0.629,bagEarthGCV,0.863,0.933,0.892,0.894,0.018
bagEarth,9.653,14.105,12.376,12.113,1.084,bstSm,6.546,8.511,7.656,7.593,0.498,bagEarth,0.863,0.931,0.891,0.892,0.018
earth,10.901,14.41,13.076,12.989,0.827,bam,7.742,9.319,8.586,8.519,0.366,earth,0.859,0.891,0.878,0.876,0.009
gcvEarth,10.901,14.41,13.076,12.989,0.827,gam,7.743,9.32,8.586,8.52,0.366,gcvEarth,0.859,0.891,0.878,0.876,0.009
bstSm,10.765,14.439,12.821,12.743,0.88,gamboost,7.622,9.674,8.767,8.718,0.5,partDSA,0.853,0.922,0.898,0.898,0.016
gamboost,11.859,15.376,13.777,13.704,0.848,partDSA,6.987,10.175,9.331,8.696,1.13,gamboost,0.847,0.874,0.862,0.862,0.009
gamLoess,14.028,18.744,16.189,16.255,1.231,gamLoess,8.299,11.18,9.567,9.728,0.778,gamLoess,0.781,0.836,0.815,0.816,0.015
bayesglm,30.453,35.951,33.069,33.289,1.433,svmLinear2,16.785,23.242,20.366,20.183,1.691,glm.nb,0.19,0.286,0.244,0.244,0.026
glmboost,30.453,35.951,33.069,33.289,1.433,svmLinear,16.785,23.242,20.366,20.182,1.692,bayesglm,0.126,0.221,0.178,0.18,0.026
