Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
glm,30.453,35.951,33.069,33.289,1.433,glm.nb,20.99,24.85,23.449,23.447,0.825,blasso,0.126,0.221,0.178,0.18,0.026
glmStepAIC,30.453,35.951,33.069,33.289,1.433,avNNet,18.52,25.749,22.418,22.184,1.77,blassoAveraged,0.126,0.221,0.178,0.18,0.026
lars,30.453,35.951,33.069,33.289,1.433,nnet,18.52,25.749,22.418,22.184,1.77,bridge,0.126,0.221,0.178,0.18,0.026
lars2,30.453,35.951,33.069,33.289,1.433,nnls,18.769,26.105,22.683,22.475,1.788,glm,0.126,0.221,0.178,0.18,0.026
lm,30.453,35.951,33.069,33.289,1.433,blassoAveraged,23.095,27.159,25.652,25.763,0.747,glmStepAIC,0.126,0.221,0.178,0.18,0.026
lmStepAIC,30.453,35.951,33.069,33.289,1.433,blasso,23.139,27.179,25.683,25.77,0.744,glmboost,0.126,0.221,0.178,0.18,0.026
plsRglm,30.453,35.951,33.069,33.289,1.433,dnn,19.951,27.209,24.086,24.026,1.833,lars,0.126,0.221,0.178,0.18,0.026
spls,30.453,35.951,33.069,33.289,1.433,bridge,23.276,27.276,25.828,25.907,0.74,lars2,0.126,0.221,0.178,0.18,0.026
penalized,30.453,35.951,33.069,33.289,1.434,svmLinear3,23.291,27.305,25.821,25.95,0.775,lm,0.126,0.221,0.178,0.18,0.026
msaenet,30.453,35.952,33.07,33.289,1.434,msaenet,23.303,27.333,25.869,25.945,0.742,lmStepAIC,0.126,0.221,0.178,0.18,0.026
bridge,30.45,35.971,33.07,33.292,1.443,penalized,23.306,27.338,25.874,25.949,0.743,msaenet,0.126,0.221,0.178,0.18,0.026
svmLinear3,30.452,35.974,33.069,33.285,1.428,lars,23.307,27.339,25.874,25.95,0.743,penalized,0.126,0.221,0.178,0.18,0.026
blassoAveraged,30.45,36.043,33.076,33.304,1.472,lars2,23.307,27.339,25.874,25.95,0.743,plsRglm,0.126,0.221,0.178,0.18,0.026
blasso,30.45,36.044,33.077,33.303,1.472,glm,23.307,27.339,25.874,25.95,0.743,rlm,0.126,0.221,0.178,0.18,0.026
glm.nb,29.526,36.205,32.538,32.825,1.85,glmStepAIC,23.307,27.339,25.874,25.95,0.743,spls,0.126,0.221,0.178,0.18,0.026
BstLm,32.585,37.58,34.996,35.246,1.192,lm,23.307,27.339,25.874,25.95,0.743,svmLinear,0.126,0.221,0.178,0.18,0.026
rlm,30.647,38.624,33.661,33.992,2.19,lmStepAIC,23.307,27.339,25.874,25.95,0.743,svmLinear3,0.126,0.221,0.178,0.18,0.026
dnn,32.859,39.901,36.865,36.751,1.904,plsRglm,23.307,27.339,25.874,25.95,0.743,BstLm,0.126,0.221,0.178,0.18,0.026
mlpWeightDecay,33.178,44.797,38.663,38.395,2.622,spls,23.307,27.339,25.874,25.95,0.743,svmLinear2,0.126,0.221,0.178,0.18,0.026
mlpWeightDecayML,33.023,45.889,38.131,38.292,2.931,glmboost,23.307,27.339,25.874,25.95,0.743,mlpWeightDecayML,0,0.009,0.001,0.002,0.002
mlpML,33.493,46.537,37.996,39.184,3.318,bayesglm,23.307,27.339,25.874,25.95,0.743,avNNet,NA,NA,NA,NA,NA
svmLinear,35.148,46.568,41.817,41.504,2.942,rlm,23.136,27.537,25.826,25.805,0.807,dnn,NA,NA,NA,NA,NA
svmLinear2,35.148,46.572,41.817,41.498,2.945,BstLm,23.982,28.092,25.793,26.044,1.035,mlp,NA,NA,NA,NA,NA
avNNet,37.332,46.831,42.583,42.352,2.571,mlpWeightDecayML,14.99,36.165,21.875,23.434,5.168,mlpML,NA,NA,NA,NA,NA
nnet,37.332,46.831,42.583,42.352,2.571,mlpML,16.186,37.618,21.413,21.981,4.447,mlpWeightDecay,NA,NA,NA,NA,NA
nnls,37.818,47.374,43.096,42.867,2.582,mlpWeightDecay,16.301,40.867,22.831,25.647,6.419,nnet,NA,NA,NA,NA,NA
mlp,36.098,51.992,37.787,39.156,3.805,mlp,13.613,50.094,22.772,23.335,6.735,nnls,NA,NA,NA,NA,NA
