Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
penalized,24.757,30.001,27.492,27.348,1.255,msaenet,19.12,22.021,20.842,20.933,0.625,glmboost,0.149,0.252,0.202,0.204,0.028
svmLinear3,24.76,30.013,27.512,27.341,1.262,bridge,19.166,22.051,20.88,20.972,0.624,lars,0.149,0.252,0.202,0.204,0.028
bridge,24.753,30.019,27.498,27.35,1.262,svmLinear3,19.206,22.093,20.878,20.985,0.614,lars2,0.149,0.252,0.202,0.204,0.028
msaenet,24.746,30.024,27.504,27.348,1.268,penalized,19.189,22.097,20.915,21.004,0.627,lm,0.149,0.252,0.202,0.204,0.028
blassoAveraged,24.733,30.084,27.527,27.357,1.284,bayesglm,19.19,22.097,20.916,21.004,0.627,lmStepAIC,0.149,0.252,0.202,0.204,0.028
blasso,24.738,30.084,27.518,27.357,1.285,lars,19.19,22.098,20.916,21.004,0.627,msaenet,0.149,0.252,0.202,0.204,0.028
glm.nb,23.933,30.28,27.031,26.838,1.655,lars2,19.19,22.098,20.916,21.004,0.627,penalized,0.149,0.252,0.202,0.204,0.028
BstLm,26.554,31.434,29.213,29.222,1.055,spls,19.19,22.098,20.916,21.004,0.627,plsRglm,0.149,0.252,0.202,0.204,0.028
dnn,27.039,33.72,30.934,30.628,1.711,glm,19.19,22.098,20.916,21.004,0.627,rlm,0.149,0.252,0.202,0.204,0.028
rlm,24.878,36.224,27.695,28.709,3.306,glmStepAIC,19.19,22.098,20.916,21.004,0.627,spls,0.149,0.252,0.202,0.204,0.028
mlpWeightDecayML,27.255,37.083,32.273,32.313,2.595,lm,19.19,22.098,20.916,21.004,0.627,svmLinear,0.149,0.252,0.202,0.204,0.028
mlpWeightDecay,27.123,38.172,31.985,32.779,2.731,lmStepAIC,19.19,22.098,20.916,21.004,0.627,mlpWeightDecayML,0,0.015,0.005,0.005,0.004
mlp,29.604,38.57,33.166,33.205,2.172,plsRglm,19.19,22.098,20.916,21.004,0.627,mlpWeightDecay,0,0.03,0.002,0.006,0.008
avNNet,29.899,38.743,34.913,34.485,2.222,glmboost,19.19,22.098,20.916,21.004,0.627,avNNet,NA,NA,NA,NA,NA
nnet,29.899,38.743,34.913,34.485,2.222,BstLm,20.063,23.507,21.738,21.871,0.907,dnn,NA,NA,NA,NA,NA
svmLinear2,29.081,38.812,34.454,34.104,2.444,dnn,14.402,24.466,19.51,19.413,2.139,mlp,NA,NA,NA,NA,NA
svmLinear,29.085,38.812,34.456,34.104,2.443,mlp,12.677,28.04,16.422,16.882,4.026,mlpML,NA,NA,NA,NA,NA
nnls,30.35,39.25,35.391,34.965,2.233,mlpWeightDecayML,12.856,31.689,18.814,20.645,5.812,nnet,NA,NA,NA,NA,NA
mlpML,27.072,44.125,33.001,33.31,3.517,mlpML,12.912,42.839,17.188,20.21,8.152,nnls,NA,NA,NA,NA,NA
