RMSE,Rsquared,MAE,Model
34.9289061896065,NA,16.3095426808476,avNNet
30.0271881866367,NA,13.3938019553148,avNNet
32.838865264379,NA,14.8679990511045,avNNet
33.7889692124402,NA,15.6184256147769,avNNet
30.6106428260166,NA,13.7276257582663,avNNet
35.6876275598728,NA,16.7794364167701,avNNet
35.4906573630959,NA,15.9611832051706,avNNet
34.9576788775555,NA,16.8557002050821,avNNet
33.2639274841109,NA,14.9522166755828,avNNet
38.1246181465901,NA,18.7146865231357,avNNet
34.5968377802295,NA,16.2815284224473,avNNet
34.9650131526787,NA,16.4048787988651,avNNet
33.4554026484779,NA,15.3778786264793,avNNet
35.1575956685976,NA,16.4086443178715,avNNet
33.6505514760729,NA,15.5257511766102,avNNet
36.3624608800133,NA,17.3789491993873,avNNet
36.8998153993097,NA,17.3397442351954,avNNet
35.2464245138756,NA,16.3610388263972,avNNet
30.5362829004476,NA,13.7255566183463,avNNet
37.0999893871573,NA,17.5284730129361,avNNet
38.3733178667265,NA,18.3226505870317,avNNet
35.6058339968588,NA,16.5294796914157,avNNet
32.2067475132283,NA,14.6612189260903,avNNet
34.6620015275368,NA,16.0536329057568,avNNet
36.5918692947396,NA,17.7880812745725,avNNet
34.9289061896065,NA,16.3095426808476,nnet
30.0271881866367,NA,13.3938019553148,nnet
32.838865264379,NA,14.8679990511045,nnet
33.7889692124402,NA,15.6184256147769,nnet
30.6106428260166,NA,13.7276257582663,nnet
35.6876275598728,NA,16.7794364167701,nnet
35.4906573630959,NA,15.9611832051706,nnet
34.9576788775555,NA,16.8557002050821,nnet
33.2639274841109,NA,14.9522166755828,nnet
38.1246181465901,NA,18.7146865231357,nnet
34.5968377802295,NA,16.2815284224473,nnet
34.9650131526787,NA,16.4048787988651,nnet
33.4554026484779,NA,15.3778786264793,nnet
35.1575956685976,NA,16.4086443178715,nnet
33.6505514760729,NA,15.5257511766102,nnet
36.3624608800133,NA,17.3789491993873,nnet
36.8998153993097,NA,17.3397442351954,nnet
35.2464245138756,NA,16.3610388263972,nnet
30.5362829004476,NA,13.7255566183463,nnet
37.0999893871573,NA,17.5284730129361,nnet
38.3733178667265,NA,18.3226505870317,nnet
35.6058339968588,NA,16.5294796914157,nnet
32.2067475132283,NA,14.6612189260903,nnet
34.6620015275368,NA,16.0536329057568,nnet
36.5918692947396,NA,17.7880812745725,nnet
14.8421888256046,0.779078214961226,7.70530690366336,bagEarth
14.0473130365344,0.788889257863212,7.44215961962135,bagEarth
13.2111485529433,0.821821687961283,6.81273205051197,bagEarth
14.4456322698608,0.787883910876856,7.16940020183957,bagEarth
13.5735065689672,0.825151943062806,6.89355812703396,bagEarth
14.2062091801017,0.821070721293859,7.15986853982824,bagEarth
14.1763111145603,0.817824576902865,7.25085111880662,bagEarth
15.1800621883206,0.804318287780508,7.94812512354237,bagEarth
13.9952141249699,0.814728195691422,7.04531643008371,bagEarth
12.7939075253352,0.840030590348346,6.37378359191468,bagEarth
14.6222633884745,0.817536997593974,7.38455604638327,bagEarth
12.6419392546371,0.801311776315655,6.02630423259969,bagEarth
13.903546735029,0.819463654188154,7.34433423367987,bagEarth
11.6497418140282,0.822580110696136,5.67631481485235,bagEarth
13.5507608832796,0.802080131810851,6.61990131887824,bagEarth
12.7610736961536,0.832331030595588,6.50141247855933,bagEarth
11.4642402445159,0.833211650288071,5.46445532498728,bagEarth
13.2455649692224,0.808594465282168,6.70155054260273,bagEarth
13.5460537169504,0.798750385689626,6.82194455340526,bagEarth
14.0467204951462,0.824228298069551,6.73654474919466,bagEarth
13.788562964882,0.811476962987228,6.80432257581897,bagEarth
14.8641954979368,0.801346222075491,7.32112954330975,bagEarth
12.7457856724346,0.812261423721515,6.38692132444617,bagEarth
14.1103708336918,0.80800177740049,7.43201151327407,bagEarth
13.4459597820244,0.795697918012663,6.72122372931036,bagEarth
13.2488337630683,0.820414918792754,6.84098364758055,bagEarthGCV
14.1823375758936,0.82090646278932,7.1856912619688,bagEarthGCV
14.0470247055219,0.814346493073253,7.05430499682337,bagEarthGCV
12.5906070457509,0.800522453058142,6.11151585730268,bagEarthGCV
14.0174209729779,0.790210998665881,7.47148126182922,bagEarthGCV
13.5557813506675,0.825335182283889,6.88541559154925,bagEarthGCV
15.1686533356529,0.804658588796113,7.90397949676477,bagEarthGCV
14.6113136193224,0.816690963042178,7.44130549879385,bagEarthGCV
14.8175193188712,0.778849654091961,7.72727598067989,bagEarthGCV
14.4629725799692,0.787466433378186,7.15453191448225,bagEarthGCV
14.1376744432751,0.818328670416227,7.1790147077323,bagEarthGCV
12.7730883371147,0.840504057601156,6.36028513743229,bagEarthGCV
13.8854578837725,0.820358310832945,7.28456372313274,bagEarthGCV
12.7712081327727,0.832501122153322,6.46935640054693,bagEarthGCV
13.5356270388964,0.798624299591226,6.82427984254178,bagEarthGCV
14.7639855331048,0.80162594759025,7.26870968480387,bagEarthGCV
13.4676461212625,0.795073355911423,6.8168752894992,bagEarthGCV
13.5446195725305,0.802258714434376,6.59296015665329,bagEarthGCV
13.2578384177985,0.808307807573242,6.70611845382693,bagEarthGCV
13.8049501009783,0.811391025090019,6.78939724055593,bagEarthGCV
14.03180318234,0.808362044764856,7.32433580088549,bagEarthGCV
11.578051096801,0.823453008973848,5.64091127958789,bagEarthGCV
11.4503620059349,0.833172538720109,5.48395872654351,bagEarthGCV
14.0614067169191,0.82378205220263,6.84247698672649,bagEarthGCV
12.7286249349954,0.81289040005064,6.37615319669677,bagEarthGCV
14.7968072545332,0.778589500943191,7.75719815223722,earth
14.1637229078576,0.785047380926781,7.45848256202317,earth
13.2718541694421,0.820300618428795,6.76779226113949,earth
14.4877188695342,0.786860672842938,7.16485077776632,earth
13.6504652445977,0.823054089128966,7.09605325768977,earth
14.1676664606361,0.820989025958187,7.15516567058675,earth
14.1745937086639,0.817988806978914,7.21627815128509,earth
15.2100621372496,0.80371535952452,8.05747977859031,earth
14.0063574806528,0.81488413022009,7.12501351924571,earth
12.8396576330425,0.838756738893354,6.40669941810066,earth
14.5978018966319,0.81753909400657,7.57555277938811,earth
12.5758427784456,0.800857381217828,6.00773619131084,earth
13.9690232249949,0.817543648107056,7.37873694835869,earth
11.6406019900758,0.822041513658177,5.82825626052599,earth
